,Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
10,2010.0,4.501035155,5.8458289408655135,3738.5230103713534,11891.69871909589,LowAcc,5503.962935174301,3395958.12327876,3395958.12327876,0.08665434579853898,1.5,20.980559175157353,0.4194723903048825,0.6838297431459783,0.4195629937291911,18.40347542756813,1.721113729939932,Fuselage too big,3738.5230103713534,3222.3905173148537,0.0,52.254400000000004,3686.2686103713536,1.3681128458210907,32.05873090915962,35.56677439739083,6.677496475626378,5.533143318330833,373.84419153262445,8.816496747670817,0.0,0.013146829875845693
11,2011.0,6.673439568,9.77005204560908,16236.57202001238,50644.49901668225,LowAcc,6184.88191758122,4270500.17787572,4270500.17787572,0.07114027356578374,1.5,100.16336455913252,0.798453089285749,0.7119946742452619,0.7984709152630493,90.19055639493278,1.791800069138049,Fuselage too big,16236.57202001238,13253.778589540305,0.0,52.254400000000004,16184.31762001238,2.015719517989463,138.4056009598836,1116.461962646505,6.952522869311008,16.3154316717157,1623.6490387009894,26.725996070897576,0.0,0.012758034784478222
12,2012.0,10.37192432,6.9967045523173566,37773.80118425676,112222.70434348239,LowAcc,9090.551107725934,4389720.307587146,4389720.307587146,0.1535347763185213,1.5,117.8701797896202,1.9683122783067915,0.7694149680679845,1.9683243307068627,106.69834567928947,1.795747106908454,Fuselage too big,37773.80118425676,30274.707223289544,0.0,52.254400000000004,37721.54678425676,1.5388269369201462,399.87062641177334,3173.884194874978,7.51322356048994,30.295869497128425,3777.371941336058,56.35215931392372,0.0,0.012719035937747898
13,2013.0,5.211867846,6.428614378625398,44065.01879040452,137262.4116360147,LowAcc,5097.818574531315,4894169.632026315,4894169.632026315,0.1439792260821999,1.5,145.23809089036772,1.339297568661559,0.25946202223150877,1.3393166716290106,131.56718613468675,1.5849340353946593,Fuselage too big,44065.01879040452,34921.13969479809,0.0,52.254400000000004,44012.764390404525,4.075104294623628,664.4546965931916,3909.066600622807,2.533608338004012,33.335980100051316,4406.495742922802,71.64931737850992,0.0,0.01364535645129704
14,2014.0,4.779763777,7.000013657488779,2156.472171403843,7290.86030915666,LowClb,10653.838652770492,2215040.0226837276,2215040.0226837276,0.06873782178047569,1.5,14.391555198340512,2.9526726282922864,0.23392008372207215,2.952054215750443,12.343671635230855,1.509549298663294,Fuselage too big,2156.472171403843,1837.4973876749189,0.0,52.254400000000004,2104.217771403843,2.4369769965503707,18.98980404423817,16.98510055408282,2.2841950796792427,3.7669467079602317,215.63904263487316,6.6051887502813065,0.0,0.013128961258949762
15,2015.0,1.614807912,4.29532538339048,4022.6167207956405,13401.115598740202,LowAcc,7803.054251846424,3782371.9219649388,3782371.9219649388,0.09613284926266082,1.5,16.70800039850385,0.5247922636691084,0.14676218195597754,0.5247968155666559,14.705512661060041,1.5856324454464041,Fuselage too big,4022.6167207956405,3473.2847369361743,0.0,52.254400000000004,3970.3623207956407,2.609100772193395,51.375794440710315,23.265787224798988,1.4331110376359777,5.959754410425128,402.25321986757484,10.167098600221214,0.0,0.013717505906212716
16,2016.0,0.51769507,1.4554017097523186,152.8125519344136,276.97597662697024,LowClb,5908.792689041285,1668398.5596557502,1668398.5596557502,0.1693642031671122,1.5,1.4625804608603592,0.1478626862371975,0.09869844908548271,0.14787186370267674,0.7579286683819945,0.28132410749464887,1,152.8125519344136,76.2569029630579,0.0,52.254400000000004,100.55815193441359,0.011832394953074634,0.9578498926450927,0.028662228813463517,0.9637757826766681,0.2816775683079938,15.27494462926114,6.769764438642901,0.0,0.012742036055365672
17,2017.0,3.82602452,2.6142906484960573,4212.751942387222,13314.650637216886,LowAcc,1263.0412392347178,2669406.2795457197,2669406.2795457197,0.3112561764845204,1.5,16.192326625983586,0.4502068096055511,0.4899105181799441,0.4509291932912496,14.2451406009154,1.604085417654134,Fuselage too big,4212.751942387222,3620.6206280303354,0.0,52.254400000000004,4160.497542387222,5.223105058934542,70.63873747972309,20.208051023101532,4.783903875647191,5.9631085607790455,421.2663340001866,11.77847880356291,0.0,0.015195554951314895
18,2018.0,10.56051682,5.012295485339185,77014.21184561787,214369.30563662163,LowAcc,1361.7236692328606,3438862.6539261523,3438862.6539261523,0.28696100290305143,1.5,391.02254274240534,0.9648937640252175,2.125201610069233,0.9652962255960591,353.4051268637684,1.584109520626846,Fuselage too big,77014.21184561787,30815.952960112103,0.0,52.254400000000004,76961.95744561787,39.57908467176756,901.1377107217805,37373.91249448207,20.752279940247384,31.06537093751066,7701.412816973621,78.12947392331004,0.0,0.01525385544956026
19,2019.0,5.743930786,9.036417705328873,177911.32020213257,448645.4196430801,LowAcc,5563.007959351374,5219207.249617764,5219207.249617764,0.19490733382888248,1.5,370.39332383430116,0.7409728289753026,0.656024305304519,0.7409823334461285,336.13368740049,1.6021857421280858,Fuselage too big,177911.32020213257,64912.23312328437,0.0,52.254400000000004,177859.06580213257,17.251274589384707,1708.8200902238723,93235.66478404969,6.405980480525888,55.058727796415845,17791.123037085752,132.49526865842768,0.0,0.013515964125154233
