Case,Planform,Span,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_x,Fin_S,cgx,RTG_h,PropD,Check,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater
4024,10.6693455,6.374650293,1866.629384,6427.612817,LowClb,10931.22204,919143.041,919143.041,0.161440705,1.5,8.871407141,2.050008708,0.902170339,2.050024089,7.567560264,1.416869338,Fuselage too big,1866.629384,1596.347049,0,52.2544,1814.374984,0.118763752,9.003626256,4.1811198,8.809560158,3.398950537,186.6564198,5.846785232,0,0.012709485
4025,4.533591146,3.867585845,7763.191124,26021.02533,LowClb,26582.7136,2587988.165,2587988.165,0.189036723,1.5,28.84530282,1.415052679,0.330427089,1.415061464,25.76236037,1.779565289,Fuselage too big,7763.191124,6769.292872,0,52.2544,7710.936724,0.225807898,62.62607798,73.91844213,3.226571741,10.01911731,776.3097013,15.30541253,0,0.012720818
4026,18.93458447,13.12665111,10067.12548,33240.08345,LowClb,34399.61403,2849662.021,2849662.021,0.080382612,1.5,35.21977516,3.427919675,1.136397206,3.427853207,31.55935029,1.763760166,Span too big,10067.12548,8680.280956,0,52.2544,10014.87108,1.752555275,74.55548807,210.2813979,11.09675093,11.78152903,1006.704638,18.40500756,0,0.012754264
4027,2.303343308,4.054659647,2185.153375,6963.663189,LowClb,117384.6988,3069932.831,3069932.831,0.104722409,1.5,10.48824596,1.42036999,0.13116451,1.420336729,8.993471359,1.469313664,Fuselage too big,2185.153375,1879.59653,0,52.2544,2132.898975,0.516819128,17.44426658,5.437170381,1.280802073,3.605175526,218.5075742,6.497231841,0,0.013405229
4028,3.871293097,5.489699888,296.0694004,712.4115789,LowClb,395.7892201,1729188.694,1729188.694,0.020479968,0.641990996,4.239288412,1.730440582,0.303103332,1.726763736,2.445185845,0.46453288,Fuselage too big,296.0694004,193.1788237,0,52.2544,243.8150004,6.013720624,4.344067867,0.484612438,2.959759282,0.597045229,29.59767413,6.624259952,0,0.015037167
4029,1.242332542,2.145462739,1429.147933,4807.256719,LowAcc,25238.68592,2159925.46,2159925.46,0.17043382,1.5,18.51690461,0.616419062,0.145128939,0.616426341,14.8573575,1.224631696,Fuselage too big,1429.147933,1204.052859,0,52.2544,1376.893533,0.085567458,8.686220543,10.62073865,1.417162663,2.688077359,142.9052824,6.424923595,0,0.012702003
4030,5.991214196,9.427261591,31667.47977,75303.55935,LowClb,12552.2425,4839760.279,4839760.279,0.098264722,1.5,215.709758,3.732006367,0.2259418,3.731186502,194.0558871,1.567533537,Fuselage too big,31667.47977,17683.64241,0,52.2544,31615.22537,43.21206749,375.7840932,10281.55759,2.206288314,19.70189403,3166.741008,42.36550753,0,0.01451302
4031,0.792868735,3.298601204,314.2332219,872.4376002,LowClb,22795.21249,1048100.317,1048100.317,0.111790143,1.5,2.488930125,1.009143704,0.027351991,1.008964336,1.648608632,0.516026801,1,314.2332219,220.2911999,0,52.2544,261.9788219,0.683173429,3.317051112,0.179214577,0.267088155,0.700204897,31.4135119,5.112712249,0,0.014665653
4032,1.944661702,4.612463195,25168.45672,84656.38749,LowAcc,13298.79251,4827746.153,4827746.153,0.159924361,1.5,88.99567613,0.527131335,0.150223941,0.527144851,80.43118814,1.614067123,Fuselage too big,25168.45672,20520.72283,0,52.2544,25116.20232,2.708520197,381.4963497,1627.418286,1.466914604,22.44699523,2516.838609,43.09031308,0,0.013498133
4033,4.988630549,7.968664763,188643.7707,556297.9148,LowAcc,5609491.238,6266272.851,6266272.851,0.252527586,1.5,445.5638026,2.374516857,0.267237218,2.374509047,404.0326854,1.744545093,Fuselage too big,188643.7707,54504.15257,0,52.2544,188591.5163,3.385178138,917.9094406,114152.0475,2.609531975,47.33978762,18864.36826,99.69125596,0,0.012755551
4034,2.314218429,5.610566096,414.9214824,1105.081174,LowClb,3818.826397,2257246.311,2257246.311,0.068090641,1.5,2.17422814,0.920375574,0.139148796,0.920172468,1.341228758,0.582445395,1,414.9214824,302.8867764,0,52.2544,362.6670824,3.06752854,5.210189124,0.207436036,1.358767447,0.842102434,41.48454666,7.595016871,0,0.014718923
