Year(U),PowerFrac(U),Year(P),PowerFrac(P)
27.29128034,7.623963386,36.820023,0.760581286
27.97190482,7.569707401,37.50064747,0.752014552
28.65252929,7.521162572,38.18127195,0.744875606
29.33315377,7.469762166,38.86189642,0.740592239
30.01377824,7.419789548,39.5425209,0.732025505
30.69440272,7.368389141,40.4500202,0.727742137
31.37502719,7.319844312,41.13064468,0.727742137
32.05565167,7.268443905,41.81126915,0.727742137
32.73627614,7.221326866,42.49189363,0.727742137
33.41690062,7.172782037,43.1725181,0.720603192
34.0975251,7.124237209,43.85314258,0.712036458
34.77814957,7.072836802,44.53376705,0.710608668
35.45877405,7.027147551,45.21439153,0.700614145
36.13939852,6.978602723,45.89501601,0.693475199
36.820023,6.931485683,46.57564048,0.693475199
37.50064747,6.884368643,47.25626496,0.693475199
38.18127195,6.837251604,47.93688943,0.693475199
38.86189642,6.787278986,48.61751391,0.687764043
39.5425209,6.740161946,49.29813838,0.682052887
40.22314538,6.698756063,49.97876286,0.676341731
40.90376985,6.650211235,50.65938733,0.676341731
41.58439433,6.604521984,51.34001181,0.676341731
42.2650188,6.558832734,52.02063629,0.676341731
42.94564328,6.51742685,52.70126076,0.673486152
43.62626775,6.4717376,53.38188524,0.664919418
44.30689223,6.42462056,54.06250971,0.659208262
45.04423541,6.397492568,54.74313419,0.654924894
45.66814118,6.385594325,55.42375866,0.647785949
46.34876566,6.294691754,56.10438314,0.642074793
47.02939013,6.253285871,56.78500761,0.642074793
47.71001461,6.209024409,57.46563209,0.642074793
48.39063908,6.166190737,58.14625657,0.642074793
49.07126356,6.123357065,58.82688104,0.642074793
49.75188803,6.077667814,59.50750552,0.639219215
50.43251251,6.03768972,60.18812999,0.632080269
51.11313698,5.997711626,60.86875447,0.624941324
51.79376146,5.96058911,61.54937894,0.617802378
52.47438594,5.922038805,62.23000342,0.610663433
53.15501041,5.876349554,62.91062789,0.607807855
53.83563489,5.840654827,63.59125237,0.607807855
54.51625936,5.799248944,64.27187685,0.607807855
55.19688384,5.760698639,64.95250132,0.607807855
55.87750831,5.720720545,65.6331258,0.604952277
56.55813279,5.679314661,66.31375027,0.59924112
57.23875726,5.640764356,66.99437475,0.590674386
57.91938174,5.602214051,67.67499922,0.590674386
58.60000622,5.563663746,68.3556237,0.590674386
59.28063069,5.525113441,69.03624817,0.590674386
59.96125517,5.486563136,69.71687265,0.590674386
60.64187964,5.448012831,70.39749713,0.579252073
61.32250412,5.413745893,71.0781216,0.573540917
62.00312859,5.378051166,71.75874608,0.573540917
62.68375307,5.342356439,72.43937055,0.572113128
63.36437754,5.305233923,73.11999503,0.563546393
64.04500202,5.269539196,73.8006195,0.556407448
64.7256265,5.235272258,74.48124398,0.556407448
65.40625097,5.198149742,75.16186845,0.556407448
66.08687545,5.161027226,75.84249293,0.556407448
66.76749992,5.126760288,76.52311741,0.556407448
67.4481244,5.093921139,77.20374188,0.556407448
68.12874887,5.058226412,77.88436636,0.55355187
68.80937335,5.022531685,78.56499083,0.546412924
69.48999782,4.988264747,79.24561531,0.539273979
70.1706223,4.955425598,79.92623978,0.53784619
70.85124678,4.92258645,80.60686426,0.530707245
71.53187125,4.888319512,81.28748873,0.524996088
72.21249573,4.854052574,81.96811321,0.52214051
72.8931202,4.819785636,82.64873769,0.52214051
73.57374468,4.788374276,83.32936216,0.52214051
74.25436915,4.756962917,84.00998664,0.52214051
74.93499363,4.725551557,84.69061111,0.52214051
75.6156181,4.694140197,85.37123559,0.517857143
76.29624258,4.659873259,86.05186006,0.513573776
76.97686706,4.62703411,86.73248454,0.505007041
77.65749153,4.595622751,87.41310901,0.505007041
78.33811601,4.562783602,88.09373349,0.505007041
79.01874048,4.529944453,88.77435796,0.505007041
79.69936496,4.505672039,89.45498244,0.505007041
80.37998943,4.47283289,90.13560692,0.505007041
81.06061391,4.44142153,90.81623139,0.49072915
81.74123838,4.414293538,91.49685587,0.487873572
82.42186286,4.381454389,92.17748034,0.487873572
83.10248734,4.351470818,92.85810482,0.487873572
83.78311181,4.322915037,93.53872929,0.480734627
84.46373629,4.294359255,94.21935377,0.479306838
85.14436076,4.264375685,94.89997824,0.470740103
85.82498524,4.232964325,95.58060272,0.470740103
86.50560971,4.20869191,96.2612272,0.470740103
87.18623419,4.177280551,96.94185167,0.470740103
87.86685866,4.145869191,97.62247615,0.470740103
88.54748314,4.121596777,98.30310062,0.470740103
89.22810762,4.08590205,98.9837251,0.470740103
89.90873209,4.057346268,99.60763087,0.469026756
90.58935657,4.033073854,100,0.454545455
91.26998104,4.00880144,,
91.95060552,3.981673447,,
92.63122999,3.955973244,,
93.31185447,3.931700829,,
93.99247894,3.903145048,,
94.67310342,3.876017055,,
95.3537279,3.847461274,,
96.03435237,3.824616648,,
96.71497685,3.797488656,,
97.39560132,3.767505085,,
98.0762258,3.743232671,,
98.75685027,3.716104678,,
99.43747475,3.693260053,,
100.0046618,3.672557112,,
