,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing_folding
10,29.0,1.6573135784015778,4.919022082148345,0.0,14.6,2.58576256684492,0.35,0.0,176.44403422751387,369.824631040467,LowAcc,45.0,119068.04349397456,119068.04349397456,0.020635817329791938,0.27505,13.328766949439421,2.6199079550578843,0.7031934957161236,0.21902616944163386,0.48021470412698164,0.20998855853207232,0.2145700409285343,2.6199079550578843,3.0,0.0,0.3100014401344411,3.0,1,1,Titan,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,176.44403422751387,0.27,Conventional,yes,yes
11,30.0,1.7267720600432153,5.156771249984385,0.0,15.4,2.68140320855615,0.35,0.0,176.0485960212874,370.78779481925807,LowAcc,45.0,119068.04349397456,119068.04349397456,0.019881565811655337,0.27315,13.738857521969873,2.611074004606712,0.700943108868281,0.2257317288570823,0.5259904138243218,0.14723790240369772,0.22069398924109285,2.611074004606712,3.0,0.0,0.3075805075747978,3.0,1,1,Titan,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,176.0485960212874,0.27,Conventional,yes,yes
12,32.0,1.5427030654044926,5.121128011666607,0.0,17.0,2.872684491978609,0.35,0.0,180.9679232269951,362.6710945978013,LowAcc,45.0,119068.04349397456,119068.04349397456,0.021500738306435684,0.30306,14.095329922195598,2.567361896505964,0.7702085689517892,0.18224966572858922,0.621707391444197,0.15352723839012689,0.1788748888765147,1.921984879262223,2.0,0.0,0.30130754552735006,3.0,1,1,Titan,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,180.9679232269951,0.27,Conventional,yes,yes
13,40.0,1.6634298366430265,4.199089933356522,0.0,10.6,2.107559358288769,0.35,0.0,182.6388764238891,426.42137841694444,LowAcc,45.0,119068.04349397456,119068.04349397456,0.024532612920907252,0.28366,11.562567791474772,2.6900730936749064,0.7210675720983191,0.04757017669242486,0.0999286583306887,0.14987431389855124,0.04915019151090088,2.6900730936749064,3.0,0.0,0.3285972746431105,3.0,1,1,Titan,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,182.6388764238891,0.27,T-tail,yes,yes
14,41.0,1.5586524719652879,4.2152862513006495,0.0,11.4,2.2032,0.35,0.0,171.60526321576708,380.47822324707926,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022882053089650422,0.28444,12.430702738324323,2.6197140433077735,0.7031440980593782,0.04863843325013587,0.10739740809161799,0.15001164477638054,0.050611406480748716,2.6197140433077735,3.0,0.0,0.30994850185433837,3.0,1,1,Titan,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,171.60526321576708,0.27,T-tail,yes,yes
15,42.0,1.582981490319668,4.39458464270515,0.0,12.2,2.2988406417112297,0.35,0.0,173.69563389332387,377.56330510006177,LowAcc,45.0,119068.04349397456,119068.04349397456,0.022259296194372922,0.28348,12.73535324408248,2.6244342670715683,0.7043465419190796,0.06786129749505708,0.20968035629025664,0.17935802111344712,0.0693922079702799,2.6244342670715683,3.0,0.0,0.31123457389705095,3.0,1,1,Titan,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,173.69563389332387,0.27,T-tail,yes,yes
16,43.0,1.5644071697630244,4.5096888148650915,0.0,13.0,2.394481283422459,0.35,0.0,171.83919248492006,364.09038562859854,LowAcc,45.0,119068.04349397456,119068.04349397456,0.021527013698435703,0.28378,13.182506592664144,2.6069631621615423,0.69989590062059,0.0734573171542799,0.26382493638070803,0.1809674004773491,0.07505485950487736,2.6069631621615423,3.0,0.0,0.30644741593378955,3.0,1,1,Titan,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,171.83919248492006,0.27,T-tail,yes,yes
17,44.0,1.6409147741852892,4.7586367673690955,0.0,13.8,2.49012192513369,0.35,0.0,172.55456082874053,367.1344008014983,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02073133551196994,0.28423,13.71016352689339,2.606032745995133,0.6996588836353264,0.07477987166142895,0.278994009432744,0.14978417626245522,0.07665250488663111,2.606032745995133,3.0,0.0,0.3061903788488026,3.0,1,1,Titan,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,172.55456082874053,0.27,T-tail,yes,yes
18,47.0,1.5015994160630481,4.932130426116221,0.0,16.200000000000003,2.77704385026738,0.35,0.0,173.93757199666263,344.2664694814885,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02078125248706964,0.29926,14.400479479579174,2.5305309003956595,0.7591592701186978,0.06927464710369262,0.320934050674906,0.15015789971629986,0.07220922990869165,1.8930686780306256,2.0,0.0,0.2930737816919004,3.0,1,1,Titan,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,173.93757199666263,0.27,T-tail,yes,yes
19,48.0,1.5154342256168776,5.075665654422769,0.0,17.0,2.872684491978609,0.35,0.0,175.20577438159987,343.84125753278323,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02052681042862902,0.29869,14.551213450259814,2.529948134797379,0.7589844404392138,0.07347417068244463,0.3881623077331147,0.15016947501865655,0.07646477991564388,1.8926111458134616,2.0,0.0,0.292941641492048,3.0,1,1,Titan,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,175.20577438159987,0.27,T-tail,yes,yes
