,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
11,12.0,0.4424883300988989,1.278474758898599,0.0,3.693877551020408,1.7601300883989957,0.35,0.0,149.5440384226664,2196.6942115603742,LowAcc,75.0,41875.21381208429,41875.21381208429,0.23276183687126534,1.5,0.821682151724455,0.4,0.10625926825218343,0.06534728301359047,0.10754483992435068,0.0,0.0,0.010488442266739357,0.7207855382745804,4.0,Power Unconverged,1,Earth,149.5440384226664,-0.0,35.147107384308306,52.254400000000004,97.28963842266639,1.6742240422048276,1.829342227280059,0.05806453302386277,0.7857173525140005,1.4974002342343071,14.948244549914785,0.0,0.0,0.0,41.34953809918625,0.27
12,13.0,0.4586769275415415,1.3441076777164378,0.0,3.938775510204081,1.7894078358616172,0.35,0.0,147.87051327321086,2155.38538890524,LowAcc,75.0,41875.21381208429,41875.21381208429,0.22025103825850748,1.5,0.8191963035833632,0.4,0.10757201730992329,0.0692563374440575,0.10891032795104416,0.0,0.0,0.01026245607209465,0.7128588598309258,4.0,CL > CLmax,1,Earth,147.87051327321086,-0.0,34.389820377472546,52.254400000000004,95.61611327321084,1.8083059025121049,1.820383696088482,0.0583508419993632,0.8283118856332533,1.4713189729300071,14.781009387783849,0.0,0.0,0.0,40.45861220879124,0.27
13,14.0,0.4748655249841842,1.4094971792817537,0.0,4.183673469387755,1.8186855833242388,0.35,0.0,146.61864663301793,2118.374116780981,LowAcc,75.0,41875.21381208429,41875.21381208429,0.2090231090042925,1.5,0.8172613519790151,0.4,0.10896722434365395,0.07318038873213689,0.11035370418317168,0.0,0.0,0.010086551380790275,0.7066272961931679,4.0,CL > CLmax,1,Earth,146.61864663301793,-0.0,33.80035809914316,52.254400000000004,94.36424663301793,1.9473892686242331,1.813512513022552,0.058771987127123136,0.872228031319018,1.4509490918519277,14.655910466467368,0.0,0.0,0.0,39.765127175462545,0.27
14,15.0,0.4910541224268268,1.474675644493277,0.0,4.428571428571429,1.84796333078686,0.35,0.0,145.54291732166124,2085.6972815871873,LowAcc,75.0,41875.21381208429,41875.21381208429,0.19895649519398112,1.5,0.8155524391411586,0.4,0.11042113439366415,0.07711055477573629,0.11185319999154977,0.0,0.0,0.009931195668257871,0.7010776362999124,4.0,CL > CLmax,1,Earth,145.54291732166124,-0.0,33.279756109612485,52.254400000000004,93.28851732166123,2.0918599301901075,1.8075038028420032,0.05922429185744154,0.9161984387201969,1.4329075815126648,14.548412920323427,0.0,0.0,0.0,39.152654246602914,0.27
15,16.0,0.5072427198694694,1.5396698748340834,0.0,4.673469387755102,1.8772410782494815,0.35,0.0,144.48087733185776,2053.2696835749302,LowAcc,75.0,41875.21381208429,41875.21381208429,0.18955584318649543,1.5,0.8138540933650269,0.4,0.1119294979131481,0.0810482368789614,0.11340555475927286,0.0,0.0,0.009776800597700443,0.69551842230559,4.0,CL > CLmax,1,Earth,144.48087733185776,-0.0,32.76237326223787,52.254400000000004,92.22647733185775,2.241497992045362,1.8015427052284332,0.059636851982656794,0.9602456672703998,1.4149289408539762,14.442283368429777,0.0,0.0,0.0,38.543968543809264,0.27
16,17.0,0.5234313173121121,1.6045022590925329,0.0,4.918367346938775,1.906518825712103,0.35,0.0,143.67875467992434,2027.3299760796754,LowAcc,75.0,41875.21381208429,41875.21381208429,0.18132790076683755,1.5,0.8124929826034752,0.4,0.11349088633094365,0.08498971652569645,0.11500647606611517,0.0,0.0,0.009653063255741222,0.6910308003454304,4.0,CL > CLmax,1,Earth,143.67875467992434,-0.0,32.347725449465806,52.254400000000004,91.42435467992432,2.396520420599639,1.7968701723491665,0.06013261461556435,1.0043466537144192,1.4004844912810421,14.36212729029186,0.0,0.0,0.0,38.05614758760683,0.27
17,18.0,0.5396199147547548,1.6691916559658386,0.0,5.163265306122449,1.935796573174724,0.35,0.0,143.00794535105047,2004.5658893873501,LowAcc,75.0,41875.21381208429,41875.21381208429,0.17387431378992574,1.5,0.8112987534090033,0.4,0.11509818775400982,0.08893499603536158,0.11664944865836917,0.0,0.0,0.009544496965334659,0.6870692514245395,4.0,CL > CLmax,1,Earth,143.00794535105047,-0.0,31.983916318405804,52.254400000000004,90.75354535105046,2.5566496464235184,1.792841518569782,0.06065575219865546,1.0484676208088124,1.3877843246035406,14.295093324857048,0.0,0.0,0.0,37.62813684518329,0.27
18,19.0,0.5558085121973975,1.7337540708561912,0.0,5.408163265306122,1.965074320637346,0.35,0.0,142.50436566247123,1985.858628576189,LowAcc,75.0,41875.21381208429,41875.21381208429,0.16720304063039068,1.5,0.8103190077031712,0.4,0.11674986374861654,0.09288704144045286,0.11833201383457351,0.0,0.0,0.009455429173895396,0.6838020585765316,4.0,CL > CLmax,1,Earth,142.50436566247123,-0.0,31.685447284531605,52.254400000000004,90.24996566247123,2.7218442032783807,1.7896390755281966,0.06122873069306746,1.0926928173934196,1.3773461722426954,14.244770573472554,0.0,0.0,0.0,37.2769968053313,0.27
19,20.0,0.57199710964004,1.7982031812413048,0.0,5.653061224489796,1.994352068099968,0.35,0.0,142.04013121909452,1968.0177747376956,LowAcc,75.0,41875.21381208429,41875.21381208429,0.16098160865850697,1.5,0.8093841429657105,0.4,0.11843868385980648,0.09684673229399215,0.12004810591701703,0.0,0.0,0.009370441470489871,0.6806699107648114,4.0,CL > CLmax,1,Earth,142.04013121909452,-0.0,31.400650756889725,52.254400000000004,89.7857312190945,2.8920117676924506,1.7866188706596033,0.06179206171455756,1.136966060471365,1.3673700436030765,14.198379591134637,0.0,0.0,0.0,36.94194206692909,0.27
20,21.0,0.5881857070826827,1.8625507490518967,0.0,5.8979591836734695,2.023629815562589,0.35,0.0,141.75895524797076,1954.7428867666058,LowAcc,75.0,41875.21381208429,41875.21381208429,0.1554729179989786,1.5,0.8086849248292143,0.4,0.12016707914631031,0.10081257204627055,0.12179789043354237,0.0,0.0,0.009306876185353852,0.6783178137034669,4.0,CL > CLmax,1,Earth,141.75895524797076,-0.0,31.187641441895956,52.254400000000004,89.50455524797076,3.0672027298508904,1.7845067153549892,0.062421305156060265,1.1812604718231454,1.3598981243494341,14.170281586721508,0.0,0.0,0.0,36.69134287281877,0.27
