,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type,Winglet,Wing Folding
10,11.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,264.8585319777209,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03096396816469535,0.23579,7.614980055070726,1.8172176,0.54516528,-0.004066083610272164,0.1123344256570543,0.4004842990024028,1.942890293094024e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,T-tail,yes,no
11,12.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,331.22983773184893,LowAcc,45.0,119068.04349397456,119068.04349397456,0.030042465991139862,0.24435,8.133486780747752,1.8172176,0.54516528,-0.006038967733594725,0.1496752397541722,0.4491853684629625,1.942890293094024e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,T-tail,yes,no
12,13.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,592.8286618698932,LowAcc,45.0,216316.28734175314,216316.28734175314,0.03819936569360429,0.18918,4.952438255582718,1.8172176,0.54516528,-0.000918014287832957,0.0376351364361565,0.3640330929769419,2.0816681711721685e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,H-tail,yes,no
13,14.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,314.0802928123047,LowAcc,45.0,142640.15732178988,142640.15732178988,0.03297983824829487,0.22166,6.721076020179096,1.8172176,0.54516528,-0.002339649018194913,0.0749904535441688,0.31180170584897265,2.220446049250313e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,H-tail,yes,no
14,15.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,266.2071685362896,LowAcc,45.0,119068.04349397456,119068.04349397456,0.031149206805583404,0.23396,7.510945670631438,1.8172176,0.54516528,-0.004066083610272107,0.1123344256570543,0.40661124713158253,2.498001805406602e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,H-tail,yes,no
15,16.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,331.6664230205933,LowAcc,45.0,119068.04349397456,119068.04349397456,0.030087440561014648,0.24234,8.05452359792971,1.8172176,0.54516528,-0.006038967733594667,0.1496752397541722,0.4584609908935634,2.498001805406602e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,H-tail,yes,no
16,17.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,566.9275142872444,LowAcc,45.0,213003.7709236299,213003.7709236299,0.03813489823691886,0.1951,5.116048790478253,1.8172176,0.54516528,-0.0009180142878329079,0.0376351364361565,0.235378910930217,2.5673907444456745e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,No_tail,yes,no
17,18.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,303.9864125873797,LowAcc,45.0,140988.7608593648,140988.7608593648,0.03289507459667088,0.22687,6.896777185693331,1.8172176,0.54516528,-0.0023396490181948563,0.0749904535441688,0.24350054274054972,2.7755575615628914e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,No_tail,yes,no
18,19.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,263.7447945242868,LowAcc,45.0,119068.04349397456,119068.04349397456,0.030810993509760014,0.24159,7.841032452376825,1.8172176,0.54516528,-0.004066083610272063,0.1123344256570543,0.2461235163298401,2.914335439641036e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,No_tail,yes,no
19,20.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,328.0033119764433,LowAcc,45.0,119068.04349397456,119068.04349397456,0.02971008738888178,0.25014,8.419362646964421,1.8172176,0.54516528,-0.006038967733594622,0.1496752397541722,0.24728720795680947,2.914335439641036e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,No_tail,yes,no
20,21.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,62.81169112431289,629.0015422056385,LowAcc,45.0,220294.30364585394,220294.30364585394,0.03853333432208539,0.18242,4.734082923507763,1.8172176,0.54516528,-0.0009180142878328587,0.0376351364361565,0.7111224406636555,3.0531133177191805e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,62.81169112431289,0.27,Inverted_V,yes,no
21,22.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,64.10793872137398,325.63278420594577,LowAcc,45.0,144387.6073249959,144387.6073249959,0.033136488792118834,0.21634,6.528754490471369,1.8172176,0.54516528,-0.0023396490181947713,0.0749904535441688,0.6688636986691081,3.608224830031759e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,64.10793872137398,0.27,Inverted_V,yes,no
22,23.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,65.63286434265092,266.202595923879,LowAcc,45.0,119068.04349397456,119068.04349397456,0.031148578745708512,0.23091,7.413179326257818,1.8172176,0.54516528,-0.0040660836102719335,0.1123344256570543,0.6808877842883739,4.163336342344337e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,65.63286434265092,0.27,Inverted_V,yes,no
23,24.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,67.35705277662787,331.830931247103,LowAcc,45.0,119068.04349397456,119068.04349397456,0.03010438727662528,0.24053,7.989865323941034,1.8172176,0.54516528,-0.006038967733594489,0.1496752397541722,0.6856087595642582,4.163336342344337e-16,0.6665213999999999,1.0,0.0,0.0,3.0,Tail sizing failure,1,Titan,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,67.35705277662787,0.27,Inverted_V,yes,no
