,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb,Tail_type
10,67.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.15130831103016,259.21725319322985,LowAcc,45.0,178014.9376038857,178014.9376038857,0.0071972589173370845,0.23746,32.993116230402045,2.3617035469553422,0.7085110640866026,0.06424742795358336,0.2577941091462278,0.06999993292837783,0.07085456016826962,1.7605214694007614,2.0,0.0,0.2519106083010281,3.0,1,1,Titan,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,0.27,T-tail
11,68.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.17056262497067,220.46736211675645,LowAcc,45.0,156227.02951314455,156227.02951314455,0.006556907948747017,0.2466,37.609190479351426,2.300350477984719,0.6901051433954156,0.07094266271680816,0.2787774844064036,0.06997523747537847,0.07839717696509346,1.712352864804312,2.0,0.0,0.23517342002829458,3.0,1,1,Titan,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,0.27,T-tail
12,71.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.15130831103016,259.21725319322985,LowAcc,45.0,178014.9376038857,178014.9376038857,0.0071972589173370845,0.23746,32.993116230402045,2.3617035469553422,0.7085110640866026,0.06424742061900982,0.2577941091462278,0.06999993292837783,0.0708545534342254,1.7605214694007614,2.0,0.0,0.2519106083010281,3.0,1,1,Titan,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,156.15130831103016,0.27,T-tail
13,72.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.17056262497067,220.46736211675645,LowAcc,45.0,156227.02951314455,156227.02951314455,0.006556907948747017,0.2466,37.609190479351426,2.300350477984719,0.6901051433954156,0.07094265523088487,0.2787774844064036,0.06997523747537847,0.07839717023104925,1.712352864804312,2.0,0.0,0.23517342002829458,3.0,1,1,Titan,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,150.17056262497067,0.27,T-tail
14,75.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.9768356118493,263.6801930910656,LowAcc,45.0,179141.03543026856,179141.03543026856,0.007228075881910257,0.23506,32.52041121874299,2.370730828560526,0.7112192485681578,0.06505144649264344,0.2545391091462278,0.0700000147559114,0.0714647560422647,1.7676088338230544,2.0,0.0,0.2542803048966417,3.0,1,1,Titan,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,0.27,T-tail
15,76.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.35917718690456,222.75321649515342,LowAcc,45.0,156835.86471849206,156835.86471849206,0.0065814592580899665,0.24492,37.21363156642548,2.3050005429832296,0.6915001628949689,0.07165380817469659,0.27616748440640365,0.06997428040633624,0.07892235498188174,1.7160036543413162,2.0,0.0,0.2364834551917531,3.0,1,1,Titan,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,0.27,T-tail
16,79.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,156.9768356118493,263.6801930910656,LowAcc,45.0,179141.03543026856,179141.03543026856,0.007228075881910257,0.23506,32.52041121874299,2.370730828560526,0.7112192485681578,0.06505145992739234,0.2545391091462278,0.0700000147559114,0.07146476841255946,1.7676088338230544,2.0,0.0,0.2542803048966417,3.0,1,1,Titan,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,156.9768356118493,0.27,T-tail
17,80.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,150.35917718690456,222.75321649515342,LowAcc,45.0,156835.86471849206,156835.86471849206,0.0065814592580899665,0.24492,37.21363156642548,2.3050005429832296,0.6915001628949689,0.0716538218640313,0.27616748440640365,0.06997428040633624,0.07892236733241573,1.7160036543413162,2.0,0.0,0.2364834551917531,3.0,1,1,Titan,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,150.35917718690456,0.27,T-tail
18,83.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,165.4037694874546,290.3363374470257,LowAcc,45.0,181739.66734892724,181739.66734892724,0.00786860845568002,0.23511,29.87948902582437,2.4253234118097375,0.7275970235429212,0.06398301930154557,0.26323310914622783,0.07000005800859398,0.07050428394493682,1.8104697469045032,2.0,0.0,0.26816520448292797,3.0,1,1,Titan,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,0.27,H-tail
19,87.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,165.4037694874546,290.3363374470257,LowAcc,45.0,181739.66734892724,181739.66734892724,0.00786860845568002,0.23511,29.87948902582437,2.4253234118097375,0.7275970235429212,0.06398298315623166,0.26323310914622783,0.06999987673173781,0.0705042507111096,1.8104697469045032,2.0,0.0,0.26816520448292797,3.0,1,1,Titan,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,165.4037694874546,0.27,H-tail
20,91.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,166.5939447257149,296.88465916518,LowAcc,45.0,183329.5893965324,183329.5893965324,0.00789187505719042,0.23272,29.48855605461783,2.4370455467472327,0.7311136640241698,0.06477251679035562,0.2601851091462278,0.06999923635989362,0.07108989228400552,1.8196728543008225,2.0,0.0,0.2710538323653578,3.0,1,1,Titan,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,0.27,H-tail
21,95.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,166.5939447257149,296.88465916518,LowAcc,45.0,183329.5893965324,183329.5893965324,0.00789187505719042,0.23272,29.48855605461783,2.4370455467472327,0.7311136640241698,0.06477248963522397,0.2601851091462278,0.06999905190576165,0.07108986724096478,1.8196728543008225,2.0,0.0,0.2710538323653578,3.0,1,1,Titan,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,166.5939447257149,0.27,H-tail
