,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,L/D,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,n_RTG,Batt_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
10,11.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,209.36933360816425,525.2654818464889,LowAcc,45.0,119068.04349397456,119068.04349397456,0.06621680717704091,0.6919423843156933,10.449648870349154,3.517059187272543,0.7077499395397104,0.1481742322247719,0.15174373118384515,0.14814286372512528,3.517059187272543,4.0,0.0,0.36760633980477925,3.0,1,1,Titan,209.36933360816425,120.8229231036417,0.0,52.254400000000004,157.11493360816425,3.6072225278339194,10.776371099105608,0.20398220540446504,0.27451006221370505,0.47218655558210215,20.930692857250893,0.012461632691517288,0.0,0.014583564440330758,0.0,0.27
11,12.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,227.27804533164047,587.1490357921302,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05620134871452437,0.5633465150286929,10.023718788141908,3.614660517149512,0.7263973796318641,0.18413631447491272,0.21454144446050302,0.18332852835347216,3.614660517149512,4.0,0.0,0.3894267640195002,3.0,1,1,Titan,227.27804533164047,134.6805541170017,0.0,52.254400000000004,175.02364533164047,4.894097238456474,11.569317929925377,0.25185578331818614,0.36550567103455694,0.5151405287844402,22.720799691992795,0.011790806686645278,0.0,0.014583564440330758,0.0,0.27
12,13.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,207.65635510391735,531.1145397344442,LowAcc,45.0,119068.04349397456,119068.04349397456,0.2016040320415458,1.5,7.440327382395237,3.525794092014742,0.7094188062764254,0.18021251631272817,0.04563092634248836,0.18002786838970972,3.525794092014742,4.0,0.0,0.36961166387042954,3.0,Winglet too big,Tail span too big,Titan,207.65635510391735,122.0631222587846,0.0,52.254400000000004,155.40195510391735,1.0289932041214667,10.815908897321568,0.13896635132628998,0.09243261591313347,0.47607687621185313,20.759476604960494,0.012394730837556633,0.0,0.014583564440330758,0.0,0.27
13,14.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,218.57468057063744,565.3005178118074,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10795386794447759,1.083547549815507,10.037135032278721,3.57846652826452,0.7194822562387737,0.11143160463734433,0.09148724562270742,0.11186638344858627,3.57846652826452,4.0,0.0,0.38148061748137096,3.0,1,1,Titan,218.57468057063744,129.54165955990794,0.0,52.254400000000004,166.32028057063744,2.7770016547883696,11.253490623394049,0.18784387417296425,0.18349903461400593,0.4993401291841042,21.850841082710673,0.012021047425010424,0.0,0.014583564440330758,0.0,0.27
14,15.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,209.36933360816425,525.2654818464889,LowAcc,45.0,119068.04349397456,119068.04349397456,0.06621680717704091,0.6919423843156933,10.449648870349154,3.517059187272543,0.7077499395397104,0.14817423596997242,0.15174373118384515,0.14814286740579977,3.517059187272543,4.0,0.0,0.36760633980477925,3.0,1,1,Titan,209.36933360816425,120.8229231036417,0.0,52.254400000000004,157.11493360816425,3.6072225278339194,10.776371099105608,0.20398220540446504,0.27451006221370505,0.47218655558210215,20.930692857250893,0.012461632691517288,0.0,0.014583564440330758,0.0,0.27
15,16.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,227.27804533164047,587.1490357921302,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05620134871452437,0.5633465150286929,10.023718788141908,3.614660517149512,0.7263973796318641,0.18413631823658938,0.21454144446050302,0.18332853203414665,3.614660517149512,4.0,0.0,0.3894267640195002,3.0,1,1,Titan,227.27804533164047,134.6805541170017,0.0,52.254400000000004,175.02364533164047,4.894097238456474,11.569317929925377,0.25185578331818614,0.36550567103455694,0.5151405287844402,22.720799691992795,0.011790806686645278,0.0,0.014583564440330758,0.0,0.27
16,17.0,0.2605740968501802,1.1414335216082017,0.0,5.0,1.4380748663101606,0.35,0.0,207.66290670117937,531.1165379710121,LowAcc,45.0,119068.04349397456,119068.04349397456,0.2016040320415458,1.5,7.440327382395237,3.5257980682242094,0.709419565960007,0.18021251415722883,0.04563092634248836,0.1800278720703842,3.5257980682242094,4.0,0.0,0.36961257423507216,3.0,Winglet too big,Tail span too big,Titan,207.66290670117937,122.06368680891632,0.0,52.254400000000004,155.40850670117936,1.0289932041214667,10.815994449052031,0.13897009920269326,0.09243261591313347,0.48131975770945673,20.76013150110167,0.012394700722280142,0.0,0.014583564440330758,0.0,0.27
17,18.0,0.5211481937003605,2.1657178355693625,0.0,9.0,1.91627807486631,0.35,0.0,218.58751474757662,565.3257914009776,LowAcc,45.0,119068.04349397456,119068.04349397456,0.10795881862313504,1.0836111731086533,10.037264087627213,3.578504317133254,0.719489476075499,0.11143161071203019,0.09148724562270742,0.11186638712926075,3.578504317133254,4.0,0.0,0.381489000085789,3.0,1,1,Titan,218.58751474757662,129.54702489867933,0.0,52.254400000000004,166.33311474757662,2.7771524842540765,11.253852778618983,0.1878557439801965,0.18349903461400593,0.5050014751899168,21.852123971383108,0.012020796416645394,0.0,0.014583564440330758,0.0,0.27
18,19.0,0.7817222905505408,3.1878503379482903,0.0,13.0,2.394481283422459,0.35,0.0,209.37746096882447,525.2740022071623,LowAcc,45.0,119068.04349397456,119068.04349397456,0.06621774072178828,0.6919692443396351,10.449907181927601,3.5170721270765437,0.7077524117828674,0.1481742403214297,0.15174373118384515,0.14814287108647425,3.5170721270765437,4.0,0.0,0.36760931856314727,3.0,1,1,Titan,209.37746096882447,120.82476032276006,0.0,52.254400000000004,157.12306096882446,3.6073565870694497,10.7765269048043,0.2039896920602654,0.27451006221370505,0.4773670404587578,20.93150526254643,0.012461532471184093,0.0,0.014583564440330758,0.0,0.27
19,20.0,1.042296387400721,4.209398839004479,0.0,17.0,2.872684491978609,0.35,0.0,227.2864121994591,587.1559531312204,LowAcc,45.0,119068.04349397456,119068.04349397456,0.05620185463118434,0.5633672537050595,10.023997560259652,3.614669586020802,0.7263991123053257,0.18413632150206322,0.21454144446050302,0.18332853571482113,3.614669586020802,4.0,0.0,0.38942873471113476,3.0,1,1,Titan,227.2864121994591,134.68184173339176,0.0,52.254400000000004,175.0320121994591,4.894268327837479,11.569453216145915,0.2518641705036164,0.36550567103455694,0.5210687245444032,22.721636040108912,0.011790751452154203,0.0,0.014583564440330758,0.0,0.27
