,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AtmPassDeltaH,GroundTime,GndAreaFrac,CD,CL,Fuse_L,Fuse_D,Fuse_x,S_Vtail,cgx,RTG_h,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,lb
10,11.0,0.4403860778963806,1.7437777995049821,0.0,6.904761904761905,1.6657906799083269,0.35,0.0,190.48860260506723,511.3295282311362,LowAcc,75.0,111902.97196510962,111902.97196510962,0.13988805674767277,1.2793951926192209,1.4916442438824522,1.1757480320736007,0.1003850020362136,0.07276292493856465,0.10094642463324735,1.4916442438824522,0.34074456816306253,4.0,1,1,Titan,190.48860260506723,117.15258312187615,0.0,52.254400000000004,138.23420260506722,1.9592133934585045,0.0,0.0035319130608406084,0.8645138913768253,0.468017744963043,19.040032234239266,-1.2682845030827061,0.0,0.014594809175303324,0.0,0.27
11,12.0,0.454592080409167,1.7959507361597258,0.0,7.095238095238095,1.6885622612681428,0.35,0.0,181.87224911966857,477.15041725626685,LowAcc,75.0,111902.97196510962,111902.97196510962,0.12544799553083194,1.183351788897124,1.4375993595762195,1.1344453677079311,0.10230812215882326,0.07585569209096076,0.10286366423521418,1.4375993595762195,0.32861051698434773,4.0,1,1,Titan,181.87224911966857,109.47918291493663,0.0,52.254400000000004,129.61784911966856,1.9132031408886336,0.0,0.003440976443535416,0.8996299512083041,0.4429367885392727,18.17899117532574,-1.3141306368488677,0.0,0.014594809175303324,0.0,0.27
12,13.0,0.4687980829219535,1.8481149558022485,0.0,7.285714285714286,1.7113338426279605,0.35,0.0,175.41173370998519,452.22399971356407,LowAcc,75.0,111902.97196510962,111902.97196510962,0.11448842530116694,1.1067310985542,1.3970238579871668,1.1034363953488573,0.1042302987708211,0.07896713971631306,0.10477767173044639,1.3970238579871668,0.3191975762179586,4.0,1,1,Titan,175.41173370998519,103.71819246622171,0.0,52.254400000000004,123.1573337099852,1.8816189745139824,0.0,0.0033785606446827764,0.9349281854955146,0.4238361903450123,17.533385229679702,-1.3526007060906984,0.0,0.014594809175303324,0.0,0.27
13,14.0,0.48300408543474,1.9002711763030808,0.0,7.476190476190476,1.7341054239877771,0.35,0.0,171.4901179823001,435.35070384521384,LowAcc,75.0,111902.97196510962,111902.97196510962,0.10637914172684884,1.0501651319076102,1.3721682812372713,1.084441044405018,0.10614734504668577,0.08210090863919009,0.10668785363871723,1.3721682812372713,0.31329178049178685,4.0,1,1,Titan,171.4901179823001,100.18914822411473,0.0,52.254400000000004,119.23571798230007,1.882842085141846,0.0,0.0033524489004962722,0.9704441654954205,0.41201213561331496,17.141494135299084,-1.3781700214401276,0.0,0.014594809175303324,0.0,0.27
14,15.0,0.4972100879475264,1.952420038720588,0.0,7.666666666666666,1.756877005347594,0.35,0.0,168.26182699332742,421.6785422679096,LowAcc,75.0,111902.97196510962,111902.97196510962,0.0996114200002611,1.0009559564179065,1.3516353366569545,1.0687491740397426,0.10806253000431043,0.0852512408144867,0.10859499190873821,1.3516353366569545,0.3083277506744558,4.0,1,1,Titan,168.26182699332742,97.27383989818851,0.0,52.254400000000004,116.0074269933274,1.8890617062778834,0.0,0.0033352096709633084,1.006121681885993,0.4021695068406415,16.81888769425235,-1.4005835129642457,0.0,0.014594809175303324,0.0,0.27
15,16.0,0.511416090460313,2.0045621173184367,0.0,7.857142857142857,1.7796485867074103,0.35,0.0,164.81196008311542,409.3429783059479,LowAcc,75.0,111902.97196510962,111902.97196510962,0.09361783586245828,0.9531991273607028,1.3298432515272414,1.0520950320336169,0.10997883092743273,0.0884209444667186,0.11049863079793751,1.3298432515272414,0.3029703573383737,4.0,1,1,Titan,164.81196008311542,94.17975629174623,0.0,52.254400000000004,112.55756008311543,1.877901011729746,0.0,0.0033126386745603595,1.0419881719547754,0.39164566560121566,16.47413894517236,-1.4257774509387513,0.0,0.014594809175303324,0.0,0.27
16,17.0,0.5256220929730994,2.056697928053535,0.0,8.047619047619047,1.802420168067227,0.35,0.0,162.82971536299647,400.43255107648264,LowAcc,75.0,111902.97196510962,111902.97196510962,0.08877949111470594,0.9162824155756426,1.31705694444258,1.0423233661900606,0.11189233544906187,0.09160771404541652,0.1124020624404557,1.31705694444258,0.2997823909837895,4.0,1,1,Titan,162.82971536299647,92.36433097094266,0.0,52.254400000000004,110.57531536299646,1.8948633062131972,0.0,0.003312135868198234,1.0780211362007508,0.385432199277066,16.276051187195783,-1.4412903818764922,0.0,0.014594809175303324,0.0,0.27
17,18.0,0.5398280954858858,2.1088279358004285,0.0,8.238095238095237,1.825191749427043,0.35,0.0,161.2567891603942,393.64744976809516,LowAcc,75.0,111902.97196510962,111902.97196510962,0.08473675065470185,0.8835514094080884,1.3068206176707509,1.0345004690847852,0.11380580995043027,0.09481015553341388,0.11430409112963585,1.3068206176707509,0.29720555737998605,4.0,1,1,Titan,161.2567891603942,90.91095692865252,0.0,52.254400000000004,109.00238916039419,1.9141356926603112,0.0,0.003317183698806908,1.1142069747660273,0.3804365765039968,16.118867048871458,-1.4541260539342435,0.0,0.014594809175303324,0.0,0.27
18,19.0,0.5540340979986723,2.1609525605264808,0.0,8.428571428571429,1.84796333078686,0.35,0.0,159.8612789530636,387.4910176406497,LowAcc,75.0,111902.97196510962,111902.97196510962,0.08105300109172606,0.8534460812374224,1.2976817976550274,1.027516318398683,0.11571887419391913,0.09802822451948237,0.11620493601607756,1.2976817976550274,0.2948859789094298,4.0,1,1,Titan,159.8612789530636,89.61340907930413,0.0,52.254400000000004,107.60687895306359,1.9355474608487673,0.0,0.0033241810518393785,1.1505452653098625,0.37596016808524785,15.979412273295123,-1.4659142840066874,0.0,0.014594809175303324,0.0,0.27
19,20.0,0.5682401005114588,2.2130721825915822,0.0,8.619047619047619,1.8707349121466768,0.35,0.0,158.8526990955212,382.9049353359639,LowAcc,75.0,111902.97196510962,111902.97196510962,0.07792695191501428,0.826860069332007,1.290948111736227,1.022370240781565,0.11762876635569215,0.10126530362496183,0.1181013600764269,1.290948111736227,0.29316511871615825,4.0,1,1,Titan,158.8526990955212,88.65734695453372,0.0,52.254400000000004,106.5982990955212,1.9594827128971835,0.0,0.003336770176703703,1.1870690489102234,0.37265175329940575,15.878623844568995,-1.4748067980403368,0.0,0.014594809175303324,0.0,0.27
