Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
70000,0.103,3440,115.68,4.10E-04,1.92E+24,2.16E+22,2.16E+23,1.425228031,7.38279E-06
72000,0.0905,3200,122.09,3.30E-04,1.69E+24,1.90E+22,1.90E+23,1.42521327,7.79329E-06
74000,0.0809,2980,127.11,2.70E-04,1.51E+24,1.70E+22,1.70E+23,1.425244549,8.11102E-06
76000,0.0736,2780,130.39,2.40E-04,1.37E+24,1.54E+22,1.54E+23,1.425209822,8.31686E-06
78000,0.0672,2600,133.61,2.10E-04,1.25E+24,1.41E+22,1.41E+23,1.42528788,8.51756E-06
80000,0.0614,2440,137.11,1.80E-04,1.15E+24,1.29E+22,1.29E+23,1.425162938,8.73421E-06
82000,0.0563,2290,140.21,1.60E-04,1.05E+24,1.18E+22,1.18E+23,1.425204272,8.92478E-06
84000,0.0517,2150,143.56,1.40E-04,9.65E+23,1.08E+22,1.08E+23,1.425111644,9.12934E-06
86000,0.0477,2020,146.55,1.30E-04,8.90E+23,1.00E+22,1.00E+23,1.4252,9.31072E-06
88000,0.0443,1910,148.82,1.10E-04,8.26E+23,9.28E+21,9.28E+22,1.425197828,9.44767E-06
90000,0.0415,1800,149.73,1.10E-04,7.74E+23,8.70E+21,8.70E+22,1.425208693,9.50239E-06
92000,0.0388,1700,151.19,1.00E-04,7.24E+23,8.13E+21,8.13E+22,1.425186679,9.58996E-06
94000,0.0361,1600,153.33,9.00E-05,6.74E+23,5.70E+21,7.57E+22,1.425451416,9.71785E-06
96000,0.0337,1510,155.2,8.00E-05,6.29E+23,7.07E+21,7.07E+22,1.425208201,9.82914E-06
98000,0.0316,1430,156.62,7.00E-05,5.90E+23,6.63E+21,6.63E+22,1.425202661,9.91337E-06
100000,0.0296,1360,157.97,7.00E-05,5.53E+23,6.22E+21,6.22E+22,1.42522352,9.99321E-06
102000,0.0278,1280,159.49,6.00E-05,5.19E+23,5.83E+21,5.83E+22,1.425194382,1.00828E-05
104000,0.0261,1220,160.78,6.00E-05,4.88E+23,5.48E+21,5.48E+22,1.425187131,1.01587E-05
106000,0.0245,1150,162.5,4.99E-05,4.57E+23,5.14E+21,8.51E+22,1.439696682,1.02595E-05
108000,0.0231,1090,163.43,4.99E-05,4.31E+23,4.85E+21,4.85E+22,1.425233819,1.03139E-05
110000,0.0218,1040,164.17,4.99E-05,4.07E+23,4.58E+21,4.58E+22,1.42523416,1.03571E-05
112000,0.0206,984,165.1,4.01E-05,3.84E+23,4.32E+21,4.32E+22,1.425228031,1.04112E-05
114000,0.0194,935,166.22,4.01E-05,3.63E+23,4.07E+21,4.07E+22,1.425152414,1.04763E-05
116000,0.0184,888,166.98,4.01E-05,3.43E+23,3.85E+21,3.85E+22,1.425177112,1.05204E-05
118000,0.0174,843,167.81,4.01E-05,3.24E+23,3.64E+21,3.64E+22,1.425197231,1.05685E-05
120000,0.0164,802,168.69,3.00E-05,3.06E+23,3.44E+21,3.44E+22,1.425211726,1.06194E-05
122000,0.0155,762,169.58,3.00E-05,2.90E+23,3.26E+21,3.26E+22,1.425210827,1.06708E-05
124000,0.0146,725,171.13,3.00E-05,2.73E+23,3.07E+21,3.07E+22,1.425218894,1.076E-05
126000,0.0139,690,171.96,3.00E-05,2.59E+23,2.91E+21,2.91E+22,1.425199134,1.08077E-05
128000,0.0131,657,173.44,3.00E-05,2.44E+23,2.74E+21,2.74E+22,1.425187131,1.08925E-05
130000,0.0124,626,174.82,2.00E-05,2.31E+23,2.59E+21,2.59E+22,1.425152414,1.09714E-05
132000,0.0118,596,175.11,2.00E-05,2.20E+23,2.47E+21,2.47E+22,1.425182668,1.09879E-05
134000,0.0112,568,175.9,2.00E-05,2.08E+23,2.34E+21,2.34E+22,1.425228031,1.10329E-05
136000,0.0106,541,176.3,2.00E-05,1.98E+23,2.23E+21,2.23E+22,1.425253224,1.10557E-05
138000,0.0101,516,177.22,2.00E-05,1.88E+23,2.11E+21,2.11E+22,1.425174944,1.1108E-05
140000,0.00957,492,177.64,2.00E-05,1.79E+23,2.04E+21,2.04E+22,1.425520254,1.11318E-05
142000,0.00908,469,178.57,2.00E-05,1.70E+23,1.91E+21,1.91E+22,1.425198681,1.11846E-05
144000,0.00859,448,180.12,2.00E-05,1.60E+23,1.80E+21,1.80E+22,1.425228031,1.12722E-05
146000,0.00822,428,179.68,2.00E-05,1.53E+23,7.20E+21,1.72E+22,1.421961669,1.12474E-05
148000,0.00779,408,181.03,1.00E-05,1.45E+23,1.63E+21,1.63E+22,1.425210827,1.13235E-05
150000,0.00742,390,181.54,1.00E-05,1.38E+23,1.56E+21,1.56E+22,1.425336427,1.13523E-05
152000,0.00707,372,182.01,1.00E-05,1.32E+23,1.48E+21,1.48E+22,1.425152414,1.13787E-05
154000,0.00673,356,182.48,1.00E-05,1.26E+23,1.41E+21,1.41E+22,1.42510918,1.14051E-05
156000,0.00642,340,182.95,1.00E-05,1.20E+23,1.35E+21,1.34E+22,1.425053803,1.14315E-05
158000,0.00612,325,183.42,1.00E-05,1.14E+23,1.28E+21,1.28E+22,1.42518426,1.14579E-05
160000,0.00583,310,183.88,1.00E-05,1.09E+23,1.22E+21,1.22E+22,1.425113544,1.14837E-05
162000,0.00556,297,184.34,1.00E-05,1.04E+23,1.17E+21,1.17E+22,1.425228031,1.15095E-05
164000,0.0053,284,184.81,1.00E-05,9.90E+22,1.11E+21,1.11E+22,1.425152414,1.15358E-05
166000,0.00506,271,185.27,1.00E-05,9.45E+22,1.06E+21,1.05E+22,1.4249406,1.15615E-05
168000,0.00483,260,185.72,1.00E-05,9.01E+22,1.01E+21,1.01E+22,1.425147713,1.15866E-05
170000,0.00461,248,186.17,1.00E-05,8.60E+22,9.68E+20,9.65E+21,1.425166739,1.16117E-05
172000,0.0044,238,186.62,1.00E-05,8.21E+22,9.24E+20,9.21E+21,1.425160787,1.16368E-05
174000,0.0042,227,187.07,1.00E-05,7.84E+22,8.82E+20,8.80E+21,1.425174724,1.16619E-05
176000,0.00404,218,187.51,1.00E-05,7.49E+22,8.42E+20,8.40E+21,1.42515557,1.16864E-05
178000,0.00383,208,187.95,1.00E-05,7.15E+22,8.05E+20,8.02E+21,1.425157796,1.17109E-05
180000,0.00366,199,188.39,1.00E-05,6.83E+22,7.67E+20,7.66E+21,1.425157383,1.17353E-05
182000,0.00349,191,188.82,1.00E-05,6.53E+22,7.34E+20,7.32E+21,1.425144914,1.17592E-05
184000,0.00334,183,189.25,1.00E-05,6.24E+22,7.02E+20,7.00E+21,1.425161051,1.1783E-05
186000,0.00319,175,189.67,1.00E-05,5.96E+22,6.71E+20,6.69E+21,1.425174654,1.18063E-05
188000,0.00305,168,190.1,1.00E-05,5.70E+22,6.41E+20,6.39E+21,1.425145945,1.18301E-05
190000,0.00292,161,190.52,0.00E+00,5.45E+22,6.13E+20,6.11E+21,1.425146759,1.18533E-05
192000,0.00279,154,190.93,0.00E+00,5.21E+22,5.86E+20,5.84E+21,1.425143013,1.1876E-05
194000,0.00267,148,191.34,0.00E+00,4.98E+22,5.61E+20,5.59E+21,1.42517417,1.18987E-05
196000,0.00255,142,191.75,0.00E+00,4.77E+22,5.37E+20,5.35E+21,1.425156101,1.19213E-05
