Alt,rho,p,T,Fc,N2,CH4,AR,gamma,mu
220000,0.000913,47.3,173.21,0.00E+00,1.88E+22,5.96E+20,3.94E+20,1.402767054,1.08794E-05
225000,0.000815,42.3,173.82,0.00E+00,1.68E+22,5.32E+20,3.52E+20,1.402768604,1.09143E-05
230000,0.000728,37.9,174.39,0.00E+00,1.50E+22,4.75E+20,3.14E+20,1.40276395,1.09468E-05
235000,0.00065,34,174.92,0.00E+00,1.34E+22,4.25E+20,2.81E+20,1.402769034,1.09771E-05
240000,0.000582,30.5,175.42,0.00E+00,1.20E+22,3.80E+20,2.51E+20,1.402759876,1.10056E-05
245000,0.000521,27.4,175.88,0.00E+00,1.07E+22,3.40E+20,2.25E+20,1.402778518,1.10318E-05
250000,0.000467,24.6,176.3,0.00E+00,9.61E+21,3.05E+20,2.01E+20,1.402754053,1.10557E-05
255000,0.000419,22.1,176.68,0.00E+00,8.62E+21,2.74E+20,1.81E+20,1.402770248,1.10773E-05
260000,0.000376,19.9,177.02,0.00E+00,7.74E+21,2.46E+20,1.62E+20,1.40275405,1.10966E-05
265000,0.000338,17.9,177.32,0.00E+00,6.96E+21,2.21E+20,1.46E+20,1.402767845,1.11137E-05
270000,0.000304,16.1,177.58,0.00E+00,6.26E+21,1.99E+20,1.31E+20,1.402752656,1.11284E-05
275000,0.000274,14.5,177.8,0.00E+00,5.63E+21,1.79E+20,1.18E+20,1.40276025,1.11409E-05
280000,0.000246,13.1,177.97,0.00E+00,5.07E+21,1.61E+20,1.06E+20,1.402750609,1.11506E-05
285000,0.000222,11.8,178.09,0.00E+00,4.57E+21,1.45E+20,9.56E+19,1.402755581,1.11574E-05
290000,0.0002,10.7,178.17,0.00E+00,4.12E+21,1.31E+20,8.62E+19,1.402751084,1.11619E-05
295000,0.000182,9.63,178.21,0.00E+00,3.72E+21,1.18E+20,7.78E+19,1.402754993,1.11642E-05
300000,0.000163,8.7,178.19,0.00E+00,3.36E+21,1.07E+20,7.02E+19,1.40274002,1.1163E-05
305000,0.000147,7.85,178.13,0.00E+00,3.03E+21,9.66E+19,6.34E+19,1.402744828,1.11596E-05
310000,0.000133,7.1,178.01,0.00E+00,2.74E+21,8.74E+19,5.73E+19,1.402740666,1.11528E-05
315000,0.000121,6.41,177.85,0.00E+00,2.48E+21,7.91E+19,5.19E+19,1.402744542,1.11438E-05
320000,0.000109,5.8,177.63,0.00E+00,2.25E+21,7.16E+19,4.69E+19,1.402729998,1.11313E-05
325000,0.0000988,5.24,177.36,0.00E+00,2.03E+21,6.49E+19,4.25E+19,1.402740713,1.1116E-05
330000,0.0000895,4.74,177.03,0.00E+00,1.84E+21,5.88E+19,3.85E+19,1.402738863,1.10972E-05
335000,0.0000812,4.29,176.65,0.00E+00,1.67E+21,5.33E+19,3.49E+19,1.402735752,1.10756E-05
340000,0.0000736,3.88,176.21,0.00E+00,1.51E+21,4.84E+19,3.16E+19,1.402732075,1.10506E-05
345000,0.0000668,3.51,175.71,0.00E+00,1.37E+21,4.39E+19,2.87E+19,1.402738112,1.10221E-05
350000,0.0000606,3.17,175.15,0.00E+00,1.25E+21,3.99E+19,2.60E+19,1.402711452,1.09902E-05
355000,0.000055,2.87,174.53,0.00E+00,1.13E+21,3.62E+19,2.36E+19,1.402723147,1.09548E-05
360000,0.00005,2.6,173.85,0.00E+00,1.03E+21,2.90E+19,2.14E+19,1.403002592,1.0916E-05
365000,0.0000454,2.35,173.12,0.00E+00,9.34E+20,2.99E+19,1.94E+19,1.402697041,1.08742E-05
370000,0.0000412,2.13,172.33,0.00E+00,8.49E+20,2.72E+19,1.77E+19,1.40271395,1.08289E-05
375000,0.0000375,1.92,171.49,0.00E+00,7.71E+20,2.47E+19,1.60E+19,1.402690649,1.07807E-05
380000,0.0000341,1.74,170.6,0.00E+00,7.01E+20,2.25E+19,1.46E+19,1.402704241,1.07295E-05
385000,0.000031,1.57,169.66,0.00E+00,6.37E+20,2.04E+19,1.32E+19,1.402684163,1.06754E-05
390000,0.0000281,1.42,168.68,0.00E+00,5.79E+20,1.86E+19,1.20E+19,1.402677165,1.06188E-05
395000,0.0000256,1.28,167.66,0.00E+00,5.27E+20,1.69E+19,1.09E+19,1.402671233,1.05598E-05
400000,0.0000233,1.16,166.61,0.00E+00,4.79E+20,1.54E+19,9.97E+18,1.40269683,1.0499E-05
405000,0.0000211,1.05,165.52,0.00E+00,4.33E+20,1.40E+19,9.02E+18,1.402686724,1.04357E-05
410000,0.0000192,0.945,164.4,0.00E+00,3.96E+20,1.27E+19,8.20E+18,1.402676901,1.03705E-05
415000,0.0000175,0.853,163.25,0.00E+00,3.59E+20,1.16E+19,7.45E+18,1.402668959,1.03034E-05
420000,0.0000159,0.769,162.08,0.00E+00,3.27E+20,1.05E+19,6.76E+18,1.402665427,1.02349E-05
425000,0.0000144,0.694,160.88,0.00E+00,2.97E+20,9.57E+18,6.14E+18,1.402656775,1.01646E-05
430000,0.0000131,0.625,159.67,0.00E+00,2.69E+20,8.69E+18,5.57E+18,1.402658335,1.00934E-05
435000,0.0000119,0.563,158.44,0.00E+00,2.45E+20,7.90E+18,5.05E+18,1.402640047,1.0021E-05
440000,0.0000108,0.507,157.19,0.00E+00,2.22E+20,7.18E+18,4.58E+18,1.402636893,9.9471E-06
445000,0.00000979,0.457,155.94,0.00E+00,2.01E+20,6.52E+18,4.16E+18,1.402645503,9.87306E-06
450000,0.00000888,0.411,154.69,0.00E+00,1.83E+20,5.91E+18,3.77E+18,1.402633382,9.79883E-06
455000,0.00000805,0.369,153.43,0.00E+00,1.66E+20,5.37E+18,3.48E+18,1.402717758,9.72382E-06
460000,0.00000729,0.332,152.18,0.00E+00,1.50E+20,4.87E+18,3.09E+18,1.402619651,9.6492E-06
465000,0.0000066,0.298,150.93,0.00E+00,1.36E+20,4.41E+18,2.80E+18,1.402619929,9.57439E-06
470000,0.00000598,0.268,149.7,0.00E+00,1.23E+20,4.00E+18,2.53E+18,1.40260789,9.50059E-06
475000,0.00000541,0.24,148.48,0.00E+00,1.11E+20,3.62E+18,2.28E+18,1.40259367,9.4272E-06
480000,0.00000489,0.215,147.28,0.00E+00,1.01E+20,3.28E+18,2.05E+18,1.402544907,9.35483E-06
485000,0.00000442,0.193,146.1,0.00E+00,9.09E+19,2.96E+18,1.86E+18,1.402578354,9.28349E-06
