,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold
10,10,35.0,0.6853999738785684,2.8577464798322803,0.0,11.915254237288137,2.2647990573733345,0.35,0.0,142.83156847887977,247.6897110036899,LowAcc,4546937.463642655,14.408375363280651,0.0274803731306512,0.508294632753013,18.49664232492057,1.2480985174147017,2.338233698388497,0.7014701095165492,0.0678850461024606,0.0986114872176352,0.1582816627245555,0.0696279683426607,1.7420951726478442,2.0,0.0,4.0,0.2456427272755615,3.0,1,1,Titan,142.83156847887977,58.07806976030611,0.0,52.2544,90.57716847887978,5.844543348743172,6.81206461607494,0.0770449035493137,0.481463306438448,0.2626348383779143,14.277083533266133,4.72968060768343,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
11,11,36.0,0.6981714019632622,2.908761028119589,0.0,12.11864406779661,2.2891144747575454,0.35,0.0,142.390340615497,245.35227036762777,LowAcc,4504992.911118155,14.275461096909002,0.0273811984556035,0.5067615010918372,18.507645014644314,1.2235194384521233,2.334524485100465,0.7003573455301395,0.0716200239245335,0.1004434919449107,0.1628047289033836,0.073262125256983,1.7391830505448624,2.0,0.0,4.0,0.2446374460428965,3.0,1,1,Titan,142.390340615497,57.66460086987358,0.0,52.2544,90.135940615497,5.908620106632264,6.752425442233985,0.0771722657711525,0.4904079342733194,0.2610240929540497,14.232997087317065,4.734109252001258,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
12,12,37.0,0.7109428300479561,2.959773919002576,0.0,12.322033898305085,2.313429892141757,0.35,0.0,143.29139895752348,246.1204509753514,LowAcc,4474504.118492731,14.178847943103186,0.0271298663256406,0.5076553695708782,18.712048318907105,1.21762077530525,2.341005109967463,0.7023015329902389,0.0745760153689764,0.1022754878816885,0.1630089571516725,0.076126320966928,1.7442710218883302,2.0,0.0,4.0,0.2463911657527991,3.0,1,1,Titan,143.29139895752348,58.38700116475893,0.0,52.2544,91.0369989575235,5.971655963682605,6.772636910797885,0.0783975878570426,0.4993525191892347,0.2638363597983961,14.323036112350875,4.72649877464821,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
13,13,38.0,0.7237142581326499,3.0107852367273558,0.0,12.52542372881356,2.3377453095259675,0.35,0.0,144.45930539678778,250.63736928974143,LowAcc,4446879.070466327,14.091309448330437,0.0273072644169272,0.5090273519547022,18.640730326658627,1.2293396170200472,2.3494999873180142,0.7048499961954042,0.0755771133417293,0.1041074754689748,0.1539643809306821,0.0771117909027501,1.75094039303894,2.0,0.0,4.0,0.248671230982328,3.0,1,1,Titan,144.45930539678778,59.33393175077452,0.0,52.2544,92.2049053967878,6.033711142514415,6.809874591792418,0.0798530765252148,0.5082970633393747,0.2675088475471519,14.439739358797656,4.717406001056734,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
14,14,39.0,0.7364856862173437,3.061795059923168,0.0,12.728813559322036,2.3620607269101788,0.35,0.0,144.29576119692908,238.30297610173216,LowAcc,4380447.894185239,13.880801753572005,0.0249271216527463,0.5149031987848682,20.656343959718235,1.3498918840725112,2.3690276299900943,0.7107082889970282,0.0709501559721348,0.1159394551187525,0.1327097899722034,0.0719117788217458,1.766271644015522,2.0,0.0,4.0,0.2538349018429329,3.0,1,1,Titan,144.29576119692908,61.510693269029424,0.0,52.2544,92.04136119692907,3.546877913371104,6.922464915129442,0.081306703410433,0.5660658304944816,0.275893278931309,14.42338737724836,4.700088344874202,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
15,15,40.0,0.7492571143020376,3.112803462063006,0.0,12.932203389830509,2.3863761442943896,0.35,0.0,142.59318787281398,242.9632967533857,LowAcc,4358795.156267339,13.81218836751635,0.0252939494682807,0.5051360318287992,19.97062706487384,1.3072793506847828,2.3339570795637683,0.7001871238691305,0.065231350617515,0.1077714272163311,0.1456245065839342,0.0673347296061135,1.7387375775896947,2.0,0.0,4.0,0.2444833017027854,3.0,1,1,Titan,142.59318787281398,57.601351733341005,0.0,52.2544,90.33878787281397,6.200461791693291,6.668151585063962,0.0791985612800523,0.5261860372579992,0.2607774249383666,14.253273078432318,4.734804096366641,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
16,16,41.0,0.7620285423867313,3.1638105118796145,0.0,13.135593220338984,2.4106915616786004,0.35,0.0,145.4673494517944,248.1348669472817,LowAcc,4326287.394687265,13.70917748715766,0.025511888214318,0.5143241525987681,20.160175847357056,1.3387460424292263,2.3778904838468145,0.7133671451540443,0.0691761728941597,0.1096033921224712,0.1626728842982615,0.0702189934470546,1.7732299153812938,2.0,0.0,4.0,0.2561441539389479,3.0,1,1,Titan,145.4673494517944,62.498642482418624,0.0,52.2544,93.2129494517944,3.619803207903566,6.947566048411214,0.0833118823039709,0.5351304706691173,0.2796730063767056,14.540459256808596,4.6937795324622416,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
17,17,42.0,0.7747999704714252,3.214816273741853,0.0,13.33898305084746,2.4350069790628126,0.35,0.0,145.71098847687423,249.61081372876103,LowAcc,4294679.426209845,13.609017879084105,0.0252979571293767,0.5141792776915398,20.324932762830077,1.3573150677326282,2.379592697835877,0.713877809350763,0.0673797807294656,0.1114353501753104,0.136306494237752,0.0684861882209993,1.7745663321890155,2.0,0.0,4.0,0.2565852934864208,3.0,1,1,Titan,145.71098847687423,62.68838959984835,0.0,52.2544,93.45658847687424,3.648760825678364,6.938890724956934,0.0840122123615909,0.5440748706194988,0.2803971635855281,14.564806083683102,4.692673431700533,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
18,18,43.0,0.787571398556119,3.2658208079957407,0.0,13.542372881355933,2.459322396447023,0.35,0.0,146.40805747691542,252.0110765803392,LowAcc,4267504.732806359,13.522906471995206,0.0252046810791507,0.5147547752368836,20.422983080816948,1.3678983936001283,2.38472326843964,0.715416980531892,0.067388757804417,0.1132673016921081,0.1327328558720677,0.0685101370253647,1.7785943691057209,2.0,0.0,4.0,0.2579103489786288,3.0,1,1,Titan,146.40805747691542,63.26029829586976,0.0,52.2544,94.1536574769154,3.678319650617334,6.955750322221087,0.0851085101906497,0.5530192386581411,0.2825763871848857,14.634461149156149,4.689540358577056,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
19,19,44.0,0.8003428266408128,3.316824171273998,0.0,13.745762711864408,2.4836378138312343,0.35,0.0,146.4290442917279,253.3774959358817,LowAcc,4235771.073308563,13.422348573112538,0.0249967152708138,0.5142325640973463,20.57200550256953,1.369529261088958,2.384728506364218,0.7154185519092654,0.0669713308858476,0.1150992469708348,0.1249787073092999,0.0681233439168584,1.7785984814267854,2.0,0.0,4.0,0.2579116982814821,3.0,1,1,Titan,146.4290442917279,63.2608821713968,0.0,52.2544,94.17464429172792,3.707242381424405,6.935687594879747,0.0856093380170525,0.5619635762398613,0.2825786093929185,14.636559743553605,4.689537312383189,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0
