Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
1163,0.753342993,3.102305503,0,12.7754549,2.843547121,0.35,0,145.0444334,237.2876703,LowAcc,4070074.29,12.89728715,0.030325127,0.58610713,19.32744164,1.665361958,2.353428571,0.706028571,0.215288876,0.424543532,0.03831933,0.21160904,1.754024744,2,0,2,0.249718641,3,1,1,Titan,145.0444334,59.38466119,0,52.2544,92.79003343,5.096220643,6.659598357,0.081214806,2.072802452,0.269202021,14.49822145,4.713528945,0,0.014583564,0,Conventional,yes,yes,0,winter
1164,0.679998625,2.793454623,0,11.47559487,2.805580245,0.35,0,148.0986191,263.0110636,LowAcc,4458010.394,14.12658249,0.030141506,0.552629654,18.33450696,1.505686553,2.371832232,0.71154967,0.150192572,0.468229335,0.152429553,0.148819553,1.768473551,2,0,5,0.254567918,3,1,1,Titan,148.0986191,61.42284246,0,52.2544,95.84421915,5.259596947,7.00224079,0.080384485,2.286095162,0.27709105,14.80339372,4.697990972,0,0.014583564,0,Conventional,yes,no,0,spring
1165,0.590937605,2.738087617,0,12.68682808,2.221949884,0.35,0,144.4200054,254.0517761,LowAcc,4360122.993,13.81639603,0.035178086,0.648278492,18.42847563,1.794581806,2.351099984,0.705329995,0.238056041,0.464522556,0.153984346,0.233715619,1.752196559,2,0,6,0.249098342,3,1,1,Titan,144.4200054,59.12677326,0,52.2544,92.16560537,4.48844344,6.770837434,0.077153233,2.267997089,0.268198823,14.43581615,4.715802375,0,0.014583564,0,Conventional,yes,yes,0,winter
1166,0.684582648,2.83781225,0,11.76363203,1.907619463,0.35,0,142.9043458,246.0648931,LowAcc,4418598.117,14.00169252,0.029077966,0.53916775,18.54214139,1.448533144,2.332823929,0.699847179,0.149309123,0.380097682,0.152320384,0.147918737,1.737847935,2,0,3,0.244175173,3,1,1,Titan,142.9043458,57.47503854,0,52.2544,90.64994579,5.256988582,6.690076872,0.076603407,1.855798874,0.260284596,14.28436566,4.73620569,0,0.014583564,0,Conventional,yes,yes,0,winter
1167,0.88366022,3.206884159,0,11.63807737,2.064784673,0.35,0,147.9296796,243.1058947,LowAcc,4366671.241,13.83714617,0.023450151,0.4427335,18.87977173,0.874103,2.366043031,0.709812909,0.09769675,0.430299337,0.157806381,0.098874507,1.763928421,2,0,1,0.25305251,3,1,1,Titan,147.9296796,61.17799775,0,52.2544,95.67527958,5.680295143,6.853720066,0.08421398,2.100904746,0.274616892,14.78652246,4.702424979,0,0.014583564,0,Conventional,no,no,0,spring
1168,0.459310658,2.774227147,0,16.75627624,1.653329683,0.35,0,139.0330356,239.9218333,LowAcc,4292651.374,13.60259137,0.044251465,0.828387636,18.72000485,2.576478837,2.321445372,0.696433612,0.265057844,0.302262139,0.157229739,0.259672917,1.728914573,2,0,6,0.241059257,3,1,1,Titan,139.0330356,55.84256386,0,52.2544,86.77863555,3.968486801,6.499290633,0.073755846,1.475772578,0.255319759,13.89752875,4.751333766,0,0.014583564,0,Conventional,no,yes,0,fall
1169,0.740245785,3.083209506,0,12.84192501,2.782623529,0.35,0,152.7622408,261.4017785,LowAcc,4392386.383,13.91863254,0.028147591,0.539401772,19.163337,1.462321419,2.409126259,0.722737878,0.173293948,0.400338467,0.055018733,0.171176854,1.79775328,2,0,6,0.26412184,3,1,1,Titan,152.7622408,65.98051865,0,52.2544,100.5078408,5.085411545,7.144300922,0.087548727,1.954623011,0.292873046,15.26940706,4.678574295,0,0.014583564,0,Conventional,no,yes,0,fall
1170,0.767749923,3.051126152,0,12.12552488,2.005626982,0.35,0,149.0610368,265.0296834,LowAcc,4438283.266,14.06407099,0.026938572,0.497035818,18.45071154,1.306586138,2.376808069,0.713042421,0.160091187,0.353608415,0.15258215,0.158536864,1.772380106,2,0,6,0.255863244,3,1,1,Titan,149.0610368,62.37798488,0,52.2544,96.80663683,5.703667987,7.026897704,0.083759908,1.726466983,0.279212228,14.89956321,4.694500365,0,0.014583564,0,Conventional,no,no,0,summer
1171,0.636122975,3.237363645,0,16.47562465,2.572481281,0.35,0,136.0141187,214.6975101,LowAcc,3908597.591,12.38559837,0.03449611,0.705788138,20.45993425,2.348099998,2.277508528,0.683252558,0.173690459,0.639057835,0.147509142,0.170778812,1.694419535,2,0,5,0.228629319,3,1,1,Titan,136.0141187,50.97661608,0,52.2544,83.75971868,4.960027858,5.956772947,0.074505449,3.1201527,0.235857669,13.59145387,4.829748545,0,0.014583564,0,Conventional,yes,no,0,spring
1172,0.598795931,2.761042506,0,12.73114149,2.336733465,0.35,0,142.4487031,250.5753166,LowAcc,4478585.209,14.19178014,0.032692565,0.598096609,18.29457557,1.678693063,2.340359907,0.702107972,0.21838946,0.317767628,0.15459905,0.214573494,1.74376447,2,0,3,0.246217127,3,1,1,Titan,142.4487031,57.93732374,0,52.2544,90.19430307,4.608362746,6.776931603,0.076010106,1.551476987,0.263556788,14.23882762,4.727229916,0,0.014583564,0,Conventional,no,no,0,fall
1174,1.067676001,3.63947481,0,12.40617648,2.354392477,0.35,0,141.2044017,228.7734741,LowAcc,4057910.961,12.85874389,0.020213032,0.40502058,20.03759664,0.786874191,2.305883947,0.691765184,0.110356425,0.532219594,0.148443042,0.112092132,1.716697219,2,0,6,0.236731512,3,1,1,Titan,141.2044017,53.9084938,0,52.2544,88.95000171,6.942667163,6.265700424,0.081739573,2.598522878,0.248481085,14.11452444,4.775288788,0,0.014583564,0,Conventional,no,yes,0,summer
1175,1.247762621,3.577467172,0,10.25697609,1.473207756,0.35,0,150.1485058,243.6556739,LowAcc,4139382.991,13.11691317,0.019207883,0.354153213,18.43790946,0.323049006,2.366196324,0.709858897,0.153804825,0.690717921,0.138464139,0.15434417,1.764048772,2,0,3,0.253092753,3,1,1,Titan,150.1485058,60.79867309,0,52.2544,97.89410577,6.896076933,6.738394316,0.088760221,3.372379257,0.274682493,15.00825359,4.702302313,0,0.014583564,0,Conventional,yes,yes,0,summer
1176,0.820793618,3.116098898,0,11.83010215,2.731412392,0.35,0,142.228432,240.0855906,LowAcc,4168194.783,13.20821223,0.027526656,0.502955781,18.27159036,1.26811408,2.321471734,0.69644152,0.20371015,0.653042649,0.151787881,0.200718906,1.72893527,2,0,5,0.241066523,3,1,1,Titan,142.228432,55.62810092,0,52.2544,89.97403205,5.407797282,6.433228999,0.078418864,3.188432523,0.255331296,14.21684215,4.751296451,0,0.014583564,0,Conventional,yes,yes,0,summer
