Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
25,0.37155936,2.378721979,0,15.22857143,2.519724981,0.35,0,142.7051176,258.9817514,LowAcc,400000,14.38837694,0.053563403,0.939405629,17.53819928,3.310942723,2.358690181,0.707607054,0.102398844,0.131137063,0.113164949,0.017972114,0.154847356,0.101438699,1.758155661,2,0,2,0.25111461,3,1,1,Titan,142.7051176,59.58350086,0,52.2544,90.45071756,3.961320531,6.933596729,0.072892939,0.640267029,0.271464624,14.26443948,4.708651803,0,0.014583564,0,0,V-tail,yes,no,0,spring,0.029364524,30,5
26,0.528627635,2.547456288,0,12.27619048,2.731500688,0.35,0,151.2416486,284.480053,LowAcc,400000,15.00099062,0.036507097,0.643794246,17.63476987,1.989167119,2.414386118,0.724315835,0.124777829,0.173491344,0.163191522,0.010299822,0.156926874,0.123779484,1.801882822,2,0,3,0.265441634,3,1,1,Titan,151.2416486,65.71133275,0,52.2544,98.98724856,4.723224399,7.520338483,0.081184806,0.847058679,0.295077997,15.11742851,4.677019373,0,0.014583564,0,0,V-tail,no,yes,0,winter,0.028165329,30,5
27,0.738052002,2.784431818,0,10.5047619,2.80209259,0.35,0,162.9575031,322.7316579,LowAcc,400000,15.46089399,0.027769191,0.467717505,16.84303697,1.109940666,2.490817078,0.747245123,0.082636909,0.13579248,0.113164949,0.022627531,0.150595069,0.084114761,1.861889155,2,0,3,0.283928133,3,1,1,Titan,162.9575031,74.16603697,0,52.2544,110.7031031,6.214787772,8.25419154,0.093435193,0.662996759,0.326589036,16.28810588,4.682376351,0,0.014583564,0,0,V-tail,no,no,0,winter,0.08198255,10,3.05
28,0.37155936,2.513266623,0,17,2.872684492,0.35,0,144.763709,266.8506424,LowAcc,400000,14.23543164,0.054448752,0.973544136,17.88000825,3.586014337,2.374689987,0.712406996,0.057638636,0.063039692,0.044378411,0.018661281,0.155518885,0.057855474,1.770717189,2,0,6,0.255312661,3,1,1,Titan,144.763709,61.38477939,0,52.2544,92.50930899,4.261599415,7.020118287,0.076038698,0.307786642,0.2783099,14.47014258,4.695950512,0,0.014583564,0,0,V-tail,yes,no,0,spring,0.089040048,10,5
29,0.68569591,2.758252959,0,11.0952381,1.813805959,0.35,0,153.577438,289.1611339,LowAcc,400000,15.0453679,0.027613526,0.501020695,18.14403162,1.232759201,2.424643006,0.727392902,0.059767992,0.071661358,0.044378411,0.027282947,0.150674759,0.06187138,1.809935557,2,0,5,0.267996579,3,1,1,Titan,153.577438,66.83996945,0,52.2544,101.323038,6.097369794,7.611075337,0.08519919,0.34988129,0.299363509,15.35083062,4.674765207,0,0.014583564,0,0,V-tail,yes,no,0,summer,0.028082254,30,4.85
30,0.37155936,2.424399969,0,15.81904762,1.602030252,0.35,0,140.3621291,250.2060124,LowAcc,400000,14.23740757,0.052972684,0.943681272,17.81448849,3.364199016,2.341209445,0.702362833,0.102316632,0.119360223,0.094404984,0.024955239,0.15880318,0.101317068,1.744431446,2,0,2,0.246446258,3,1,1,Titan,140.3621291,57.66012596,0,52.2544,88.10772907,3.987701358,6.770414324,0.071620647,0.582767477,0.263924881,14.03032242,4.726268433,0,0.014583564,0,0,V-tail,yes,no,0,winter,0.029675897,30,5
31,0.423915452,2.589582731,0,15.81904762,2.872684492,0.35,0,154.6846074,297.3952199,LowAcc,400000,14.42305291,0.049836903,0.888216607,17.82246783,3.123459068,2.444266612,0.733279984,0.145148423,0.179269978,0.169444843,0.009825135,0.158835496,0.143080075,1.825342149,2,0,4,0.272818061,3,1,1,Titan,154.6846074,69.0002851,0,52.2544,102.4302074,4.423842957,7.589310355,0.084750208,0.875272433,0.307511739,15.46146996,4.673181053,0,0.014583564,0,0,V-tail,no,no,0,summer,0.029293925,30,4.25
32,0.68569591,2.60733296,0,9.914285714,2.872684492,0.35,0,167.7719381,340.6151873,LowAcc,400000,15.92628257,0.029039889,0.488454775,16.82013252,1.133334003,2.52696526,0.758089578,0.059912341,0.081799657,0.063138376,0.018661281,0.150169763,0.062050959,1.890269276,2,0,3,0.292264349,3,1,1,Titan,167.7719381,78.14403742,0,52.2544,115.5175381,6.376952208,8.676238681,0.0954215,0.399380787,0.341177131,16.76916615,4.70058069,0,0.014583564,0,0,V-tail,yes,yes,0,fall,0.079586903,10,5
33,0.423915452,2.684504178,0,17,2.378541176,0.35,0,140.2435799,245.7141814,LowAcc,400000,13.82133203,0.046974233,0.876938974,18.66851064,3.167895605,2.337086324,0.701125897,0.097621211,0.113836705,0.081898341,0.031938364,0.159527288,0.096780207,1.741194363,2,0,6,0.245332203,3,1,1,Titan,140.2435799,57.20698791,0,52.2544,87.98917992,4.477963801,6.648065022,0.074129238,0.555799308,0.26213691,14.01848458,4.731029579,0,0.014583564,0,0,V-tail,yes,no,0,fall,0.030569256,30,4.25
34,1.313969011,4.72625361,0,17,1.460846448,0.35,0,167.1906756,215.3305362,LowAcc,400000,11.98764369,0.019703858,0.448357778,22.75482213,1.043092672,2.727965496,0.818389649,0.063485557,0.105510791,0.069391698,0.036119093,0.150341293,0.067797194,1.024037789,1,0,1,0.227195977,3,1,1,Titan,167.1906756,50.15176272,0,52.2544,114.9362756,9.478743069,8.895265575,0.133454418,0.515148648,0.233649012,16.71104792,28.80262069,0,0.014583564,0,0,V-tail,no,yes,0,spring,0.105735835,10,5
