,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
127,16,445.0,1.025110073,3.464970496823402,0.0,11.71193305,2.008275833,0.35,0.0,144.33527620500072,247.05432407587824,LowAcc,4339974.650199324,13.752549782617574,0.0195802242670651,0.3769649446111367,19.252330283326145,0.6315274392974876,2.338768092224912,0.7016304276674734,0.084664093162906,0.153848922,0.1508635417169134,0.0877853512291506,1.7425147279502422,2.0,0.0,4.0,0.2457872213108312,3.0,1,1,Titan,144.33527620500072,57.76103238575554,0.0,52.2544,92.08087620500072,7.389494621383662,6.6618494447132015,0.0834791244402834,0.7511560039109123,0.2628666513422333,14.427355732675869,4.729058676338692,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,spring
128,17,446.0,1.03493298,3.392577237147356,0.0,11.12108758,2.04624271,0.35,0.0,145.12388644434776,249.0005054217229,LowAcc,4355590.400279471,13.80203310859974,0.0196178220089409,0.3727399770415798,19.00006926720518,0.5503224160686726,2.3457918799048803,0.703737563971464,0.0588864067100976,0.090263445,0.1437015447362249,0.0636224824328371,1.748029139163931,2.0,0.0,3.0,0.2476785388496885,3.0,1,1,Titan,145.12388644434776,58.311040755739306,0.0,52.2544,92.86948644434776,7.776067005081174,6.7502019488199005,0.0835735144331949,0.4407046065973242,0.2659076797284533,14.506153121344283,4.721254248163785,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0,fall
129,18,450.0,0.397098917,2.188965597511328,0.0,12.06644033,2.469176058,0.35,0.0,196.71574812891063,469.8002747919072,LowAcc,5628185.508290493,17.834643662035432,0.0494710077518804,0.788636699853283,15.941391447060344,2.6498442792336467,2.7651550008379973,0.7401941607434157,0.1272015574966679,0.150691373,0.2374536439025774,0.125747281000579,2.7651550008379973,3.0,0.0,6.0,0.347395445890294,3.0,1,1,Titan,196.71574812891063,108.7001051994807,0.0,52.2544,144.46134812891066,5.379715667896258,9.389418146763225,0.1166587032968348,0.735739504021541,0.4434336214933772,19.66593568599361,0.0157580355247873,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0,spring
130,19,456.0,0.384656569,2.2263818760386056,0.0,12.88623842,2.490366873,0.35,0.0,184.7536277854053,432.3197638007088,LowAcc,5552570.222998844,17.59503328199497,0.0491764396112913,0.785606496678923,15.975261789764492,2.8138765265495502,2.700238167796188,0.723657053354334,0.0597684260268977,0.0620113339999999,0.1546320710513267,0.0601667733185513,2.700238167796188,3.0,0.0,5.0,0.3312047441301413,3.0,1,1,Titan,184.7536277854053,98.45391145878054,0.0,52.2544,132.4992277854053,5.373051738049693,9.352421515977056,0.1076286750555871,0.3027657603257362,0.4123757302828679,18.46605252729006,0.0164368152034323,0.0,0.0145835644403307,0.0,V-tail,no,no,0.0,fall
131,20,458.0,0.909199776,3.128733354911858,0.0,10.76658031,2.049774513,0.35,0.0,149.92739232066367,270.4547682515366,LowAcc,4490826.625060376,14.230570845249249,0.0228381418559695,0.4123276455309649,18.054342955365662,0.7961689794575968,2.3836433892129514,0.7150930167638854,0.1072828335940532,0.194039531,0.1509755673168735,0.1086517905957963,1.7777465504659198,2.0,0.0,5.0,0.2576320183988453,3.0,1,1,Titan,149.92739232066367,62.73091262034034,0.0,52.2544,97.67299232066368,6.819662413690399,7.116715895891019,0.08531228912653,0.9473836853189496,0.2821181311258363,14.986128743786184,4.69017497694407,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0,spring
132,0,474.0,0.518248097,2.650768983203225,0.0,13.55832514,2.168972846,0.35,0.0,142.876664340515,255.41675673335783,LowAcc,4476793.530778892,14.186102652859828,0.0383000128072048,0.6936858254222662,18.11189539058776,2.1493257709956586,2.348790236276585,0.7046370708829754,0.1387495913612377,0.188526742,0.1545257422243858,0.1371047373533314,1.7503831639084315,2.0,0.0,4.0,0.2484815314411634,3.0,1,1,Titan,142.876664340515,58.87097168362464,0.0,52.2544,90.622264340515,4.641128662037826,6.832728020639083,0.0754648328351199,0.9204679000029884,0.2672026034142262,14.281588795766652,4.718128277754131,0.0,0.0145835644403307,0.0,V-tail,yes,yes,0.0,winter
133,1,475.0,1.309319502,3.3228228742771004,0.0,8.4327407,2.182217106,0.35,0.0,175.71820962941558,387.12915011483824,LowAcc,5137694.218124677,16.28037055455636,0.015971555810369,0.2563940792806332,16.053168665896454,0.0719027205749162,2.626497808121971,0.7048722145120465,0.1063279576659703,0.194551082,0.1501624580682553,0.1102509019094727,2.626497808121971,3.0,0.0,6.0,0.3117951398007563,3.0,1,1,Titan,175.71820962941558,88.0924206999062,0.0,52.2544,123.4638096294156,7.902916082869751,8.432141822153476,0.1149639483565916,0.9498812953116712,0.3762634292782078,17.563238535773085,0.0174002513262785,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,fall
134,2,477.0,0.593557047,3.0562800097082654,0.0,15.73706781,2.81264385,0.35,0.0,138.39361278302005,230.84359203545253,LowAcc,4201272.884235454,13.313030408635171,0.0336432399027636,0.6661394644264513,19.80009851464188,2.1178598935468567,2.3121525398531872,0.6936457619559562,0.1252650805573378,0.1721835564383424,0.1533704805404775,0.1239398428288163,1.72161872323818,2.0,0.0,5.0,0.2384842994625573,3.0,1,1,Titan,138.39361278302005,54.600029828186415,0.0,52.2544,86.13921278302003,5.37638770428047,6.381782371912086,0.0757043529938185,0.8406735030187235,0.2512428134823682,13.833640742840233,4.765167901865595,0.0,0.0145835644403307,0.0,V-tail,yes,no,0.0,winter
135,3,478.0,0.630884092,3.0631865005236003,0.0,14.87295631,2.063018772,0.35,0.0,137.91275938665558,233.6526580748192,LowAcc,4361455.484270085,13.82061843825286,0.029473507547109,0.5795158885415644,19.662264072753917,1.7337295031131377,2.30972222275896,0.6929166668276879,0.0730226321108812,0.094667322,0.1509117450687217,0.0740184568359903,1.7197106690019377,2.0,0.0,6.0,0.2378062817379773,3.0,1,1,Titan,137.91275938665558,54.33192310313656,0.0,52.2544,85.65835938665558,5.498730312593645,6.470709739473286,0.0754351801722889,0.462206210937686,0.2501732188811278,13.785583401546688,4.769014655473971,0.0,0.0145835644403307,0.0,V-tail,no,no,0.0,winter
136,4,479.0,0.964862913,3.5961476352208317,0.0,13.40322821,2.537163256,0.35,0.0,143.66099928532827,234.29230313759143,LowAcc,4239602.482724973,13.434489576916407,0.0213100668743997,0.4177306659067668,19.602503754157404,0.882575105962232,2.34363863767724,0.703091591303172,0.0584926535003707,0.089030729,0.1489717778099143,0.0617313571399679,1.746338617806096,2.0,0.0,5.0,0.2471002672029736,3.0,1,1,Titan,143.66099928532827,58.3004389011403,0.0,52.2544,91.40659928532826,6.620630553075624,6.603137181288496,0.0845914608568802,0.4346859617314406,0.2649765485115563,14.359980705552056,4.723574408731561,0.0,0.0145835644403307,0.0,V-tail,no,yes,0.0,spring
