,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_VTail,S_HorTail,S_VerTail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,mWingFold,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season,t_mission,Sensor_Swath_width,Aeroshell_Diameter
20,64,1.418681194,3.750361409,0,9.914285714,1.884397861,0.35,0,153.1553743,260.4237128,LowAcc,400000,13.93470665,0.015196447,0.28152515,18.52572201,-0.142060222,2.406076492,0.721822948,0.065124439,0.113836705,0.081898341,0.031938364,0.142894586,0.071306606,1.795358893,2,0,3,0.263353569,3,1,1,Titan,153.1553743,64.84333146,0,52.2544,100.9009743,7.955554399,7.157663143,0.094158275,0.555799308,0.291592276,15.30868878,4.679603099,0,0.014583564,0,0.0,V-tail,no,yes,0,spring,0.090961622,10,3.8
21,66,0.37155936,2.513266623,0,17.0,1.813805959,0.35,0,150.6469018,265.5722912,LowAcc,400000,14.39827446,0.055419767,0.990322242,17.86947684,3.678246087,2.420442923,0.726132877,0.201636249,0.156369921,0.144431557,0.001938364,0.858649784,0.198095102,1.80663805,2,0,1,0.266953314,3,1,1,Titan,150.6469018,66.42492502,0,52.2544,98.39250179,3.829875379,7.247622203,0.08083528,0.763464595,0.297610889,15.05801894,4.675565912,0,0.014583564,0,0.0,V-tail,no,yes,0,spring,0.088033015,10,3.95
22,67,0.37155936,2.424399969,0,15.81904762,1.460846448,0.35,0,146.9418486,273.1986512,LowAcc,400000,14.43439881,0.054409126,0.961137059,17.66499726,3.413218065,2.389196024,0.716758807,0.081807322,0.185563936,0.169444843,0.016119093,0.141348312,0.081426107,1.782105952,2,0,5,0.259059983,3,1,1,Titan,146.9418486,62.98120846,0,52.2544,94.68744863,3.871055007,7.178644609,0.076644978,0.906002218,0.284472044,14.68778703,4.68705072,0,0.014583564,0,0.0,V-tail,no,yes,0,fall,0.087812699,10,4.1
23,70,0.646941308,2.681301295,0,11.11287306,2.66933088,0.35,0,157.9295221,307.4447285,LowAcc,400000,15.18671474,0.030287597,0.535964714,17.69584813,1.392922651,2.457726585,0.737317976,0.081093674,0.101429824,0.07351395,0.027915874,0.21200276,0.082093967,1.835909642,2,0,6,0.276076468,3,1,1,Titan,157.9295221,70.52385346,0,52.2544,105.6751221,5.873294883,7.907326892,0.088028349,0.495223628,0.313063357,15.78570051,4.674047492,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.083462654,10,4.472197364
24,71,1.271175658,3.527885793,0,9.790919207,2.600978892,0.35,0,180.8450068,350.1514433,LowAcc,400000,15.11825531,0.018116505,0.315183181,17.39757066,0.135904733,2.540608529,0.762182559,0.064936713,0.102823271,0.073967408,0.028855863,0.150063941,0.070630296,1.900980675,2,0,6,0.2953495,3,1,1,Titan,180.8450068,79.64996823,0,52.2544,121.3764726,9.29292432,8.671401391,0.114290355,0.50202703,0.346635129,18.07494687,4.709695668,0,0.014583564,0,7.214134241,V-tail,no,yes,2,winter,0.083840594,10,3.200694401
25,75,0.853315697,2.832616367,0,9.402985921,2.006977531,0.35,0,195.4965907,460.6623751,LowAcc,400000,17.74101525,0.023179231,0.368585244,15.90152998,0.63601767,2.743370286,0.734644658,0.073600073,0.101595567,0.084354602,0.017240965,0.149582949,0.076500543,2.743370286,3,0,5,0.342047638,3,1,1,Titan,195.4965907,104.3004217,0,52.2544,143.2421907,8.532281635,9.779588629,0.12618675,0.496032856,0.43308187,19.54404281,0.015970914,0,0.014583564,0,0.0,V-tail,no,yes,0,summer,0.07144594,10,4.078499911
26,79,0.374590401,2.107078796,0,11.85236205,2.296351267,0.35,0,184.8325736,433.925933,LowAcc,400000,17.79257405,0.050345999,0.789241172,15.67634345,2.746866871,2.700997849,0.723850577,0.069418423,0.07929159,0.067584011,0.011707579,0.156081779,0.069518117,2.700997849,3,0,3,0.331398788,3,1,1,Titan,184.8325736,98.35817196,0,52.2544,132.5781736,5.400625719,9.409015603,0.105533429,0.387135335,0.412742949,18.473937,0.016428052,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.071238906,10,3.764935552
27,81,0.378655656,2.415247777,0,15.40561123,1.993739317,0.35,0,153.3103856,296.2667008,LowAcc,400000,14.90037857,0.053426322,0.923417185,17.28393703,3.369722468,2.43825801,0.731477403,0.049963188,0.067492054,0.058080063,0.009411991,0.154484574,0.050475465,1.820624765,2,0,5,0.271350859,3,1,1,Titan,153.3103856,68.38140249,0,52.2544,101.0559856,4.278905519,7.667416064,0.08169016,0.329524971,0.305023772,15.32414117,4.673297869,0,0.014583564,0,0.0,V-tail,no,yes,0,summer,0.085066531,10,4.997429855
28,82,0.942915537,2.931369361,0,9.113145339,1.932173074,0.35,0,167.2497269,336.1741788,LowAcc,400000,15.73918193,0.022174119,0.362571568,16.35111477,0.530881184,2.513045552,0.753913666,0.087353754,0.154991934,0.125858099,0.029133835,0.150109819,0.090071707,1.879340843,2,0,1,0.289082755,3,1,1,Titan,167.2497269,76.61235185,0,52.2544,114.9953269,7.251256414,8.516732337,0.098571914,0.756736676,0.335581895,16.71699539,4.692516857,0,0.014583564,0,0.0,V-tail,no,yes,0,spring,0.080532998,10,4.001150072
29,83,0.970509614,3.132737659,0,10.11225968,2.484040476,0.35,0,149.7638044,272.421596,LowAcc,400000,14.49569172,0.020660652,0.371872928,17.99908985,0.547320554,2.383953004,0.715185901,0.077217606,0.127942081,0.09043273,0.037509351,0.150423759,0.080585423,1.777989631,2,0,4,0.25771185,3,1,1,Titan,149.7638044,62.4037014,0,52.2544,97.50940443,7.258847742,7.180290885,0.085295281,0.624667765,0.282249542,14.96977657,4.689991679,0,0.014583564,0,0.0,V-tail,yes,yes,0,fall,0.087441395,10,4.386004466
30,89,1.250651723,3.673494863,0,10.79002592,1.90159282,0.35,0,146.1786259,236.1881803,LowAcc,400000,13.45753717,0.017201958,0.326799771,18.99782454,0.16948354,2.356001255,0.706800377,0.059823529,0.084418362,0.044627427,0.039790935,0.146714798,0.065294558,1.756044572,2,0,2,0.250402178,3,1,1,Titan,146.1786259,59.3307609,0,52.2544,93.92422588,7.779595116,6.707001415,0.087156316,0.41216642,0.270309053,14.61155349,4.711099606,0,0.014583564,0,0.0,V-tail,yes,no,0,summer,0.094186885,10,4.454068339
31,91,0.699787335,2.909963555,0,12.10065897,2.179046074,0.35,0,144.1827327,257.6212319,LowAcc,400000,14.34890237,0.027204268,0.506728398,18.62679752,1.301577209,2.354022026,0.706206608,0.125557182,0.198697588,0.169342219,0.029355369,0.152348001,0.125083526,1.754490668,2,0,5,0.249876482,3,1,1,Titan,144.1827327,59.1085482,0,52.2544,91.92833275,5.451008041,6.91059137,0.078962448,0.970126305,0.26945751,14.41209439,4.712960918,0,0.014583564,0,0.0,V-tail,no,yes,0,fall,0.088335921,10,4.914734315
32,93,0.570983631,2.73997157,0,13.1482652,1.536817993,0.35,0,145.8430333,265.3299594,LowAcc,400000,14.42710035,0.034077467,0.621397291,18.23484384,1.856516056,2.3718071,0.71154213,0.13651541,0.192791014,0.167832923,0.024958091,0.154583234,0.135153238,1.76845382,2,0,5,0.254561359,3,1,1,Titan,145.8430333,61.06655802,0,52.2544,93.58863328,4.879046598,7.055238823,0.078835092,0.941287893,0.277080324,14.57799362,4.698009348,0,0.014583564,0,0.0,V-tail,no,no,0,winter,0.087857122,10,3.330387143
33,98,0.465475003,2.511361992,0,13.54946885,1.650349878,0.35,0,149.5797363,280.9507454,LowAcc,400000,14.49655585,0.044365317,0.774305178,17.45293912,2.482959133,2.404255685,0.721276706,0.152255704,0.192590296,0.163200566,0.02938973,0.156009223,0.150163691,1.793929368,2,0,5,0.262893817,3,1,1,Titan,149.5797363,64.63921962,0,52.2544,97.32533629,4.418718547,7.310512478,0.079530409,0.940307902,0.290826805,14.95137445,4.680262514,0,0.014583564,0,0.0,V-tail,yes,no,0,spring,0.087436183,10,4.862485727
34,103,0.876930633,3.17215383,0,11.47475016,2.246654468,0.35,0,143.1028897,250.4773361,LowAcc,400000,14.32228038,0.022250262,0.402832266,18.10460818,0.787946041,2.340375738,0.702112722,0.053883934,0.075873307,0.059097003,0.016776304,0.149965075,0.057582308,1.743776899,2,0,1,0.246221399,3,1,1,Titan,143.1028897,57.60601598,0,52.2544,90.84848974,6.670325535,6.811826791,0.080321444,0.37044582,0.263563649,14.30419506,4.727211906,0,0.014583564,0,0.0,V-tail,no,yes,0,spring,0.088500119,10,3.11887835
35,104,0.604512885,2.942402845,0,14.32183617,1.465664929,0.35,0,136.6653833,225.7533112,LowAcc,400000,13.66074386,0.03121926,0.613436615,19.64930018,1.872800241,2.30014225,0.690042675,0.08276652,0.1262837,0.105672525,0.020611175,0.152754912,0.08328467,1.712189384,2,0,1,0.235114586,3,1,1,Titan,136.6653833,53.17821899,0,52.2544,84.41098331,5.462658548,6.373615272,0.073310123,0.616570842,0.245943124,13.6609436,4.785139249,0,0.014583564,0,0.0,V-tail,yes,yes,0,spring,0.092785834,10,3.738259555
