,Unnamed: 0,Case,Planform,Span,Wing_Sweep,Wing_AR,Wing_dhl,Wing_TR,Wing_Twist,Mass,Power,PowerConstraint,AreaCoverage,Airspeed,CD,CL,L/D,AoA,Fuse_L,Fuse_D,Fuse_x,S_Vtail,SM,cgx,RTG_h,n_RTG,Batt_h,PropulsionN,PropD,PropBlade,Check,TailCheck,Planet,mTotal,mRTG,mBattery,mPayload,mEmpty,mWing,mFuselage,mFC,mStabilizer,mProp,mAvionic,mInsulation,mRadiator,mHeater,mSpanels,Tail_type,Winglet,Wing_folding,Num_wing_fold,Season
457,45,1192.0,0.852881779,3.058217391564793,0.0,10.96599065,1.667456893,0.35,0.0,151.58902156631757,273.035002695917,LowAcc,4428344.794791885,14.032577872816326,0.0257576316330288,0.4570560077223519,17.744488865826938,1.060983656202841,2.388928704433728,0.7166786113301182,0.1359215953926771,0.4144102905468332,0.1521416400643345,0.1357163298067067,1.781896078163696,2.0,0.0,5.0,0.2589914172226076,3.0,1,1,Titan,151.58902156631757,63.72908151733368,0.0,52.2544,99.33462156631757,6.241991592584121,7.116279171185916,0.0856336513649571,2.0233276501392674,0.2843588556672917,15.152172283331902,4.687193280270093,0.0,0.0145835644403307,0.0,Conventional,yes,yes,0.0,spring
458,46,1193.0,1.093870419,3.097733513556981,0.0,8.772476844,2.311127897,0.35,0.0,173.21834182274898,363.38532132222736,LowAcc,5020786.595044664,15.909912651927472,0.0192450199357716,0.3167800612495129,16.4603654507366,0.3815384594961337,2.60076919416056,0.6983180307646959,0.1977335436801263,0.6314300516547968,0.1790517358201006,0.1964131999918014,2.60076919416056,3.0,0.0,5.0,0.3047321856671364,3.0,1,1,Titan,173.21834182274898,84.80733053428246,0.0,52.2544,120.96394182274898,7.28109844850065,7.974245118081875,0.1090728812487009,3.0829106124661583,0.3634291121355884,17.313473843814265,0.0177977077789287,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,summer
459,47,1195.0,0.755307575,2.7632597092376705,0.0,10.10926472,2.221066933,0.35,0.0,173.8763376263899,358.2046736200709,LowAcc,4878241.037386153,15.458213037069209,0.029974930570755,0.4878243758393087,16.274412202150437,1.1690191615046552,2.557752935082429,0.7673258805247287,0.2046990789829759,0.3689734491020229,0.1554585832268188,0.2019766554285875,1.9144408350740767,2.0,0.0,5.0,0.299181259754215,3.0,1,1,Titan,173.8763376263899,82.54804982785639,0.0,52.2544,121.62193762638992,5.875293517503028,8.824933129093539,0.1022108054636248,1.801485626117692,0.3534581971682484,17.379152533183003,4.72277042556405,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,fall
460,48,1199.0,0.469788426,2.8143347002961123,0.0,16.8596742,2.61486291,0.35,0.0,142.5858227879887,238.93725237984629,LowAcc,3963761.425379064,12.560402012127234,0.0528611357951238,0.9741646895602546,18.428750629495863,3.3583731366132983,2.3482296143954406,0.7044688843186322,0.2647805415136591,0.4057385438963559,-0.0572143160152646,0.259558072682358,1.74994301683553,2.0,0.0,1.0,0.2483315881333653,3.0,1,1,Titan,142.5858227879887,58.57996575007754,0.0,52.2544,90.33142278798869,3.885963659159945,6.554704339240395,0.0770061772627576,1.980988487301972,0.2669606296580983,14.252546622139189,4.718703558708446,0.0,0.0145835644403307,0.0,Conventional,yes,yes,0.0,fall
461,49,1200.0,1.23204597,4.112634816280473,0.0,13.72819322,2.38706165,0.35,0.0,161.79374038208806,264.0286790904711,LowAcc,3424868.383223637,10.852753007908197,0.02745529870303,0.5645733767130826,20.563366759174084,1.8999143835667565,2.3761602604555616,0.7128480781366684,0.1651322855212341,2.8975885389864136,0.1491879294561129,0.1645410188120949,1.7718715082503198,2.0,0.0,4.0,0.2556949756113965,3.0,1,1,Titan,161.79374038208806,61.66120731377772,0.0,52.2544,109.53934038208806,6.164138113418492,6.30642885200762,0.0998688088182354,14.147262129812605,0.2789363482425263,16.171976945065563,4.6949383065049775,0.0,0.0145835644403307,0.0,Conventional,yes,no,0.0,winter
462,50,1204.0,1.083392652,3.276623782368317,0.0,9.909854374,2.513323589,0.35,0.0,154.1179368282465,277.3684482423406,LowAcc,4340212.678094523,13.753304047502098,0.0217245967916183,0.380819030219244,17.529394624537726,0.5868482701006649,2.396106951035119,0.7188320853105358,0.089971089833858,0.6952326694719274,0.1522743124723235,0.0930873853082245,1.7875317558574035,2.0,0.0,6.0,0.2608263381898779,3.0,1,1,Titan,154.1179368282465,63.86167814927895,0.0,52.2544,101.86353682824652,7.019950223909609,7.107556851173363,0.089434928487213,3.3944221837891666,0.2873935473296115,15.404881787741912,4.6836355920963815,0.0,0.0145835644403307,0.0,Conventional,yes,no,0.0,fall
463,51,1205.0,0.619751465,2.634892732162308,0.0,11.20232884,2.765847467,0.35,0.0,152.92898136569303,289.85211412354727,LowAcc,4753560.941055553,15.063125652950646,0.0314647182712184,0.550690349980245,17.501836349953116,1.4903588910660277,2.419646668171393,0.7258940004514178,0.155734006829243,0.2532790734227331,0.1546362845456085,0.1541165670745929,1.8060129067773736,2.0,0.0,3.0,0.2667550706860905,3.0,1,1,Titan,152.92898136569303,66.45852301573521,0.0,52.2544,100.67458136569304,5.047264757403546,7.575325378655571,0.0832180662066036,1.2366163778936248,0.2972782755256258,15.286035228259337,4.675736701573175,0.0,0.0145835644403307,0.0,Conventional,no,no,0.0,fall
464,52,1207.0,0.766440202,2.9214670641306677,0.0,11.13585872,2.091273191,0.35,0.0,154.80706623544768,287.66192508747554,LowAcc,4492460.024848079,14.235746776840063,0.0288735017703897,0.5046815467907402,17.479055737821877,1.2772177071694886,2.415341839460263,0.7246025518380788,0.143624815180349,0.4372371067233296,0.153045317011568,0.1427815268543491,1.8026331639948057,2.0,0.0,6.0,0.2656807381752189,3.0,1,1,Titan,154.80706623544768,66.67337422422743,0.0,52.2544,102.55266623544766,5.837685010662918,7.35919859159309,0.0870772485247943,2.134777894952461,0.2954781038637958,15.473725329930367,4.676766267252456,0.0,0.0145835644403307,0.0,Conventional,yes,no,0.0,fall
465,53,1208.0,1.314558385,3.468008044622451,0.0,9.149140833,2.381763946,0.35,0.0,151.04435054705226,264.35314725130047,LowAcc,4383764.667771891,13.891311974839311,0.0172313270130032,0.301511240051372,17.497853753448158,0.0321454279997925,2.367847350474775,0.7103542051424324,0.1355257524750897,0.6104448979573542,0.1519036046354834,0.1380559083127832,1.7653450006015807,2.0,0.0,2.0,0.2535257882143419,3.0,1,1,Titan,151.04435054705226,61.37912659337505,0.0,52.2544,98.78995054705229,7.311382002982228,6.942004896845969,0.088255675407676,2.980452148747919,0.2753887390199903,15.097757525482905,4.700999400750204,0.0,0.0145835644403307,0.0,Conventional,no,yes,0.0,winter
466,54,1213.0,0.843713733,3.038661380748026,0.0,10.94383394,2.542460959,0.35,0.0,149.88524566361747,270.94790346761675,LowAcc,4533516.6553905,14.365847388237698,0.0246286895978423,0.4358797560667707,17.698049030791996,0.8994802937951336,2.385069748982531,0.7155209246947594,0.1029033017458888,0.3452485406867104,0.1503930357191538,0.1040838979639536,1.7788663927314483,2.0,0.0,3.0,0.2579995880530418,3.0,1,1,Titan,149.88524566361747,62.64408061722799,0.0,52.2544,97.63084566361744,6.089807151517603,7.158295586680231,0.084451297618321,1.6856505122493055,0.2827233713455894,14.981914040631342,4.689339521906757,0.0,0.0145835644403307,0.0,Conventional,no,no,0.0,fall
