drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Num_Folds,Season,CASE,D_shell,Sensor_swath_width,Area_coverage
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.08335593094045143,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.015926188193871937,8.870967741935484,1.9008521649128864,0.6978996196103842,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,11.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.08745540295391628,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.01668924218059262,9.258064516129032,1.9471298947731588,0.7322225517223703,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,12.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.0915548749673811,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.017452194010396074,9.64516129032258,1.9934076246334314,0.7665454838343564,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,13.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.09565434698084595,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.018215055980343474,10.032258064516128,2.0396853544937033,0.8008684159463425,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,14.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.09975381899431078,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.018977838489059408,10.419354838709676,2.0859630843539763,0.8351913480583287,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,15.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.10385329100777559,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.019740550389629512,10.806451612903226,2.1322408142142493,0.8695142801703147,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,16.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.10795276302124042,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.02050319926656849,11.193548387096774,2.1785185440745214,0.9038372122823009,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,17.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.11205223503470527,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.021265791655265733,11.580645161290322,2.2247962739347935,0.9381601443942869,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,18.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.11615170704817007,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.02202833321738501,11.967741935483872,2.271074003795066,0.972483076506273,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,19.0,,,
0.0,8760.0,1.0,1.0,e344,e340,1.5,0.42,1.0,0.0,0.12025117906163493,False,False,7.0,200.0,10.0,0.0,1.0,0.0,Titan,3.0,0.37,4.0,4.0,1970.0,1970.0,0.0,1.0,8.0,1.0,bwb,V-tail,yes,724000000.0,54500000.0,30.0,0.022790828882201724,12.35483870967742,2.3173517336553386,1.006806008618259,0.0,0.35,0.0,0.0,500.0,50.0,12.0,0.001996198,0.001996198,0.019607137,yes,0.0,fall,20.0,,,
