Case,drbatt,dtbatt,EQ_W_Wing,EQ_W_Therm,Foil0,Foil1,FOS,Fuse_d,Fuse_L,Fuse_Lt,Ht_S,NACA0,NACA1,Nz,Panels,PassN,PfracBattery,PfracRTG,PfracSpanels,Planet,PropBlade,PropD,PropN,PropulsionN,rho_b,rho_s,RTGfuelfrac,RTGfueltype,tstart,tmission,Type,Tail_type,Winglet,Ult_n,Ult_s,Vm,Vt_S,Wing_AR,Wing_dhl,Wing_S,Wing_Sweep,Wing_TR,Wing_fin_S,Wing_fin_TR,Cruise_Alt,Min_Alt,Cruise_V,RoC_min_alt,RoC_max_alt,Accel,Wing_folding,Sensor_swath_width,Num_Folds,Season,D_shell,Area_coverage
28,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,1,bwb,No_tail,yes,724000000,54500000,30,0.008661281,17,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,spring,3.65,4.00E+05
29,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,1,bwb,No_tail,no,724000000,54500000,30,0.008661281,12.27619048,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,2,4.00E+05
30,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.11941827,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.031938364,15.22857143,2.80209259,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,fall,2,4.00E+05
31,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,No_tail,yes,724000000,54500000,30,0.03077451,5.19047619,2.872684492,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,winter,5,4.00E+05
32,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,No_tail,no,724000000,54500000,30,0.008661281,5.19047619,1.954989763,0.528627635,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,3.95,4.00E+05
33,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.008661281,11.0952381,2.519724981,1.313969011,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,2,4.00E+05
34,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.026119093,11.0952381,2.519724981,0.528627635,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,spring,4.55,4.00E+05
35,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.131924914,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,1,bwb,No_tail,no,724000000,54500000,30,0.014480551,5.19047619,1.460846448,0.842764185,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,fall,2,4.00E+05
36,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.009825135,17,2.16676547,1.366325102,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,winter,5,4.00E+05
37,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.056885055,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.031938364,14.04761905,1.460846448,0.423915452,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,spring,3.8,4.00E+05
38,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.106911627,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.01680826,17,2.307949274,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,2.75,4.00E+05
39,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.069391698,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.017972114,17,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,winter,2,4.00E+05
40,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.050631733,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,4,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.008661281,17,2.660908785,1.313969011,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,spring,2.45,4.00E+05
41,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.100658306,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.008661281,13.45714286,1.743214057,0.476271544,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,2.45,4.00E+05
42,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.015644406,16.40952381,1.813805959,1.104544644,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,summer,2,4.00E+05
43,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.163191522,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.01680826,8.142857143,2.237357372,0.738052002,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,3.2,4.00E+05
44,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.050631733,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.022627531,12.27619048,1.53143835,0.528627635,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,summer,2,4.00E+05
45,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.100658306,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.008661281,17,1.460846448,1.209256827,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,summer,3.95,4.00E+05
46,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.069391698,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.01680826,12.27619048,2.872684492,1.209256827,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,2.45,4.00E+05
47,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.163191522,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.021463677,8.142857143,1.460846448,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,winter,2,4.00E+05
48,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.11941827,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.015644406,10.5047619,2.590316883,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,winter,3.65,4.00E+05
49,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.113164949,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.008661281,8.142857143,2.590316883,0.580983727,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,winter,5,4.00E+05
50,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.019135968,10.5047619,2.025581665,0.528627635,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,summer,2.15,4.00E+05
51,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.113164949,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.031938364,15.81904762,2.378541176,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,5,4.00E+05
52,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.138178235,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.03077451,11.68571429,2.872684492,1.209256827,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,winter,3.05,4.00E+05
53,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.088151662,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.026119093,9.914285714,2.872684492,1.261612919,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,10,0,summer,5,4.00E+05
54,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.081898341,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.022627531,17,1.460846448,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,2,4.00E+05
55,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.25,bwb,No_tail,no,724000000,54500000,30,0.031938364,17,2.872684492,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,winter,4.1,4.00E+05
56,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.031938364,8.733333333,1.813805959,0.580983727,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,10,0,winter,2,4.00E+05
57,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.163191522,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.5,bwb,No_tail,yes,724000000,54500000,30,0.03077451,6.961904762,2.80209259,0.999832461,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,fall,5,4.00E+05
58,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,1,bwb,No_tail,no,724000000,54500000,30,0.008661281,17,2.590316883,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,summer,2.3,4.00E+05
59,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.169444843,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,2,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.03077451,6.961904762,1.602030252,0.476271544,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,spring,2,4.00E+05
60,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.100658306,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,5,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.031938364,17,2.872684492,1.261612919,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,30,0,spring,2,4.00E+05
61,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,1,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.008661281,8.142857143,2.237357372,1.156900736,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,yes,100,0,winter,4.7,4.00E+05
62,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.044378411,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,3,1970,1970,0,1,8,0.25,bwb,No_tail,yes,724000000,54500000,30,0.028446802,17,2.590316883,1.418681194,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,30,0,summer,2,4.00E+05
63,0,8760,1,1,e344,e340,1.5,0.42,1,0,0.1569382,FALSE,FALSE,7,200,10,0,1,0,Titan,3,0.37,4,6,1970,1970,0,1,8,0.5,bwb,No_tail,no,724000000,54500000,30,0.008661281,5.19047619,2.590316883,0.37155936,0,0.35,0,0,500,50,12.1,0.001996198,0.001996198,0.019607137,no,100,0,winter,2.9,4.00E+05
